R,SF,SH,SB,Player,OPS
2,1,0,0,J Rivera,.447
4,0,0,0,J Hernandez,1.115
21,2,0,1,F Peralta,.772
4,0,0,0,R Eastley,1.714
28,1,2,18,J Vallejo,.724
31,4,1,4,B Ingold,.725
17,2,2,8,J Dominguez,.585
6,0,0,0,J Morgan,.553
23,2,0,9,T Johnson,.718
6,0,0,0,O Marrero,.563
22,5,3,1,L Bonilla,.692
2,0,0,0,M Nickeas,.876
20,3,1,0,N Crouch,.778
33,3,0,11,J Duarte,.855
7,0,1,1,S McKnight,.631
38,4,0,27,T Mehl,.822
8,0,1,2,K Dixon,.616
14,4,1,2,A Carvajal,.576
32,3,1,18,R Anderson,.677
19,4,2,2,W Crafort,.666
11,0,1,2,H Perez,.652
26,0,0,3,M Ryan,.742
3,0,0,0,R Hudson,.000
4,2,0,1,J Stanfield,.612
1,0,0,0,D McPherson,.778
1,0,0,0,H Bocachica,.250
6,2,0,4,B Killian,.697
2,0,0,0,J Saavedra,1.000
18,0,0,2,P Maldonado,.772
8,0,0,1,J Aughey,.700
12,0,1,6,E Cividanes,.867
5,0,0,0,M Santoro,.783
24,1,1,10,M Liverpool,.742
11,1,0,2,D Zorn,.665
22,1,0,4,C Morales,.690
2,0,0,0,V Liriano,1.128
2,1,0,0,B Crabtree,.445
3,0,0,1,R Yan,1.489
13,0,1,1,G Rosendo,.587
8,1,0,3,H Gutierrez,.733
12,1,1,1,M Mercedes,.710
27,2,1,1,L Sanchez,.746
2,0,0,1,J Silva,.624
6,1,1,0,M Maldonado,.557
5,0,4,3,C Avila,.617
29,5,2,5,R Janeway,.668
15,3,0,4,R Mount,.659
40,2,0,17,O Gonzalez,.786
4,0,0,2,R Prettyman,.462
15,0,2,9,L Rivera,.669
4,0,0,0,J Lowen,.416
11,1,4,3,N Rojas,.561
16,1,1,2,D Ruiz,.695
23,1,0,3,R Garth,1.046
16,1,0,2,B Copeland,.905
0,0,0,0,K Bone,.333
7,2,0,1,G McCarthy,.875
17,0,1,2,O Vicioso,.569
30,3,1,7,R Episcopo,.770
44,5,6,19,A Piper-Jordan,.701
1,0,0,0,J Perez,.429
33,2,1,2,A Hargrove,.945
25,2,0,13,P Phillips,.735
3,0,0,0,L Merloni,.812
0,0,0,0,N Garciaparra,.400
24,3,5,8,A Valdez,.674
3,0,0,0,B Gunther,.653
2,0,0,0,A Rivera,.667
5,0,0,1,R Angoma,.668
6,1,0,0,D Maroul,.976
7,0,3,7,V Heredia,.572
30,0,1,6,J Guzman,.772
14,1,0,5,C Fuller,.730
8,0,1,1,D Desouza,.619
2,0,0,1,J Lobaton,1.050
1,1,0,1,A Martinez,.317
17,0,2,5,L Infante,.676
18,2,2,0,W Matos,.649
10,0,0,2,I Palencia,.925
13,0,0,2,N Doscher,.516
33,1,0,3,K Blanks,.920
1,0,0,0,B Jacobsen,1.038
21,2,1,12,J Howard,.871
20,4,1,4,J Acha,.730
1,0,1,1,J Luster,.206
20,0,2,5,T Turner,.609
26,0,0,2,J Jimenez,.799
24,2,0,1,T Auty,.943
31,3,0,6,N Yoho,.769
