Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
2002-09-10,CIN,PIT,W 3-0 vs PIT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1st career game, 1st career hit"
2002-09-12,CIN,CHN,W 15-12 vs CHN,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,"1st career home run, 1st career RBI"
2003-09-02,CIN,MIL,L 3-4 @MIL,2,1,1,0,0,1,2,1,0,0,1,1,0,0,0,0,69,1st career stolen base
2004-07-11,CIN,MIL,W 9-6 @MIL,5,3,4,0,0,2,3,0,0,0,0,0,0,0,0,0,153,"2 home runs, 4 hits"
2004-08-08,CIN,COL,W 14-7 @COL,4,2,3,0,0,1,5,0,0,0,0,0,0,0,0,0,176,5 RBIs
2004-08-14,CIN,SDN,W 11-5 vs SDN,5,2,2,0,0,2,4,0,0,0,1,0,0,0,0,0,181,2 home runs
2004-09-18,CIN,CHN,W 6-5 vs CHN,4,2,2,0,0,2,3,0,0,0,1,0,0,0,0,0,201,2 home runs
2005-04-20,CIN,PIT,W 6-4 vs PIT,4,2,2,0,0,2,3,0,0,0,0,0,0,0,0,0,215,2 home runs
2005-06-08,CIN,TBA,W 11-9 vs TBA,5,3,3,0,0,2,3,0,0,0,1,0,0,0,0,0,224,2 home runs
2005-08-21,CIN,ARI,W 13-6 vs ARI,3,2,2,0,0,2,6,0,0,2,0,0,0,0,0,0,274,"2 home runs, 6 RBIs"
2005-09-12,CIN,CHN,W 5-2 @CHN,4,2,2,0,0,2,4,0,0,0,1,0,0,0,0,0,289,2 home runs
2007-05-03,BOS,SEA,W 8-7 vs SEA,4,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,401,4 hits
2007-07-03,BOS,TBA,W 4-1 vs TBA,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,436,4 strikeouts
2007-07-26,BOS,CLE,W 14-9 @CLE,5,2,4,2,0,1,4,0,0,0,0,0,0,0,0,0,447,4 hits
2007-09-10,WAS,FLO,W 5-4 @FLO,4,2,3,0,0,2,3,0,0,1,0,0,0,0,0,0,480,2 home runs
2007-09-21,WAS,PHI,L 3-6 vs PHI,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,490,2 hit by pitches
2007-09-30,WAS,PHI,L 1-6 @PHI,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,496,4 strikeouts
2008-04-17,WAS,NYN,L 2-3 @NYN,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,500,500th career game
