RAR,Age,162WL%,Rrep,WAA,Name,Rpos,Acquired,Pos Summary,PA
-1,29,.499,0,-0.1,Armando Rios*,-0,Traded,/9,6
-4,27,.495,3,-0.8,Warren Morris*,1,Traded,4/5,109
-7,23,.494,2,-0.9,Chad Hermansen,-0,Amateur Draft,9/8,56
-0,23,.500,0,-0.0,Ryan Vogelsong,0,Traded,/1,2
3,27,.489,21,-1.9,Jason Kendall,7,Amateur Draft,*279,672
-0,22,.500,0,-0.1,David Williams*,5,Amateur Draft,1,37
0,39,.500,0,0.0,Billy Taylor,0,Free Agency,/1,0
0,36,.500,0,0.0,Mike Fetters,0,Traded,1,0
-0,27,.500,0,-0.0,Jose Silva,0,Traded,1,2
-0,38,.500,0,-0.0,Terry Mulholland,1,Free Agency,1,3
-1,22,.499,0,-0.1,Humberto Cota,0,Traded,/2,9
-0,26,.500,0,-0.0,Damaso Marte*,1,Traded,1,4
2,24,.501,0,0.2,Joe Beimel*,5,Amateur Draft,1,31
-1,24,.499,0,-0.1,Tony McKnight,3,Traded,1,23
-0,31,.500,0,-0.0,Don Wengert,1,Free Agency,/1,5
5,26,.500,5,-0.1,Gary Matthews#,1,Waivers,8,170
