TOV%,BLK%,GS,ORB%,USG%,MP,Opp,DRtg,AST%
0.0,0.0,0,0.0,28.9,6:30,MIN,104,0.0
0.0,7.3,0,9.2,19.3,13:42,MIA,65,11.0
16.7,0.0,0,8.9,24.8,10:32,DAL,121,0.0
0.0,0.0,0,9.1,15.4,12:03,HOU,101,0.0
0.0,0.0,0,0.0,20.5,4:07,MIL,68,0.0
0.0,0.0,0,14.7,14.0,17:14,NYK,67,0.0
0.0,4.3,0,11.3,23.1,17:44,IND,97,10.8
0.0,8.5,0,12.7,19.9,9:28,TOR,93,0.0
0.0,4.5,0,7.0,25.6,15:10,CLE,84,0.0
0.0,0.0,0,6.7,28.3,17:35,ATL,89,0.0
0.0,23.1,0,0.0,21.5,3:55,MEM,104,49.5
0.0,0.0,0,17.9,13.6,14:50,ATL,108,0.0
0.0,0.0,0,0.0,33.7,6:41,TOR,125,0.0
0.0,0.0,0,30.6,28.2,7:39,BOS,89,20.4
0.0,0.0,0,0.0,15.6,5:25,SAC,93,0.0
0.0,0.0,0,0.0,29.9,12:00,CHA,85,0.0
 ,0.0,0,0.0,0.0,4:06,CHA,121,0.0
0.0,4.6,0,14.1,25.0,16:11,ORL,108,12.8
15.5,0.0,0,20.0,25.0,11:44,CLE,95,0.0
