Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 27,Ky. Christian,"L, 20-6",0,9,9,-,-,0,-,-,-,-,-,2,-,-
Sep 3,at Pikeville,"L, 63-18",4,0,4,-,-,0,-,-,1,-,-,-,-,-
Sep 10,Lindsey Wilson,"L, 33-25",2,4,6,-,-,2,-,-,-,-,-,-,-,-
Sep 17,Radford,"W, 63-6",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 8,at Guilford,"W, 55-24",0,1,1,-,-,0,9,-,1,0,3,-,-,-
Oct 15,Brevard,"L, 41-21",1,4,5,-,-,0,-,-,1,-,-,-,-,-
Oct 22,at Apprentice,"L, 23-21",4,2,6,-,-,0,-,-,-,-,-,1,-,-
Oct 29,at George Mason,"W, 48-26",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Nov 5,at Webber Int'l,"L, 63-6",4,1,5,-,-,0,-,-,-,-,-,1,-,-
Nov 12,Edward Waters,"L, 38-15",1,5,6,-,-,0,-,-,-,-,-,-,-,-
Nov 19,Ave Maria,"W, 27-24",2,0,2,-,-,0,-,-,-,-,-,-,-,-
