Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Lance Lynn,STL,26,10,1,1,0,2,1,5,0,0,0.385,0.407,0.5,0.907
Jeff Locke,PIT,26,8,1,0,1,2,1,3,0,0,0.308,0.333,0.462,0.795
Homer Bailey,CIN,25,5,1,0,0,2,1,3,0,0,0.2,0.286,0.24,0.526
Charlie Morton,PIT,22,3,0,0,0,0,0,2,0,0,0.136,0.136,0.136,0.273
Mat Latos,LA,21,9,0,1,1,1,2,2,1,0,0.429,0.478,0.667,1.145
Mike Leake,SF,21,7,0,1,0,0,1,1,0,0,0.333,0.364,0.429,0.792
Johnny Cueto,KC,20,3,0,0,0,2,0,2,0,0,0.15,0.15,0.15,0.3
Adam Wainwright,STL,19,8,1,0,1,2,0,1,0,0,0.421,0.421,0.632,1.053
Gerrit Cole,PIT,18,6,2,0,0,1,1,1,0,0,0.333,0.368,0.444,0.813
Jeff Samardzija,CHI-A,18,5,0,0,0,3,0,4,0,0,0.278,0.278,0.278,0.556
Bronson Arroyo,LA,17,4,1,0,0,0,1,3,0,0,0.235,0.278,0.294,0.572
Wandy Rodriguez,TEX,16,4,1,0,1,2,3,2,0,0,0.25,0.368,0.5,0.868
Francisco Liriano,PIT,15,5,0,0,0,0,0,3,0,1,0.333,0.333,0.333,0.667
Edwin Jackson, ,15,4,1,0,0,1,0,3,0,0,0.267,0.267,0.333,0.6
Shelby Miller,ATL,15,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0.0
Edinson Volquez,KC,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
A.J. Burnett,PIT,14,4,0,0,0,3,1,2,2,1,0.286,0.333,0.286,0.619
Kyle Kendrick,COL,14,3,0,0,1,1,0,3,0,0,0.214,0.214,0.429,0.643
Jordan Zimmermann,WAS,13,5,1,1,0,1,1,2,0,0,0.385,0.429,0.615,1.044
Cole Hamels,TEX,13,3,1,0,0,0,0,1,0,0,0.231,0.231,0.308,0.538
Jaime Garcia,STL,12,4,0,0,0,0,1,1,0,0,0.333,0.385,0.333,0.718
Julio Teheran,ATL,12,4,0,0,1,1,1,0,0,0,0.333,0.385,0.583,0.968
Jacob Turner,CHI-N,12,4,0,0,0,0,1,2,0,0,0.333,0.385,0.333,0.718
Jake Arrieta,CHI-N,12,3,0,0,0,1,0,1,2,0,0.25,0.25,0.25,0.5
John Lackey,STL,11,6,0,0,0,0,0,3,0,0,0.545,0.545,0.545,1.091
Jordan Lyles,COL,10,4,0,0,0,0,0,2,0,0,0.4,0.5,0.4,0.9
Travis Wood,CHI-N,10,4,1,0,1,2,1,1,0,0,0.4,0.455,0.8,1.255
Vance Worley,PIT,10,4,0,0,1,2,2,2,0,0,0.4,0.5,0.7,1.2
Jake Peavy,SF,10,3,0,1,0,0,1,2,0,1,0.3,0.364,0.5,0.864
Justin Grimm,CHI-N,10,2,1,0,0,0,1,2,0,0,0.2,0.273,0.3,0.573
Clayton Kershaw,LA,10,2,0,0,0,0,0,2,0,0,0.2,0.2,0.2,0.4
Jon Niese,NY-N,10,2,0,0,0,1,1,2,0,0,0.2,0.25,0.2,0.45
Carlos Villanueva,STL,10,2,0,0,1,2,1,1,0,0,0.2,0.273,0.5,0.773
Cliff Lee,PHI,10,1,0,1,0,1,0,4,1,0,0.1,0.1,0.3,0.4
Jason Marquis, ,9,4,1,0,0,1,1,1,0,0,0.444,0.5,0.556,1.056
Matt Cain,SF,9,3,1,0,0,1,0,0,0,0,0.333,0.333,0.444,0.778
Kevin Correia,PHI,9,3,0,1,1,1,0,0,0,0,0.333,0.333,0.889,1.222
Kyle Gibson,MIN,9,3,0,0,1,1,0,0,0,0,0.333,0.333,0.667,1.0
Jacob deGrom,NY-N,9,2,0,0,0,1,0,1,0,0,0.222,0.222,0.222,0.444
Wade Miley,BOS,9,2,1,0,1,1,1,2,0,1,0.222,0.3,0.667,0.967
Ricky Nolasco,MIN,9,2,0,0,0,0,0,2,0,0,0.222,0.222,0.222,0.444
Zack Greinke,LA,9,1,0,1,0,0,1,2,0,0,0.111,0.2,0.333,0.533
Jason Hammel,CHI-N,9,1,0,0,0,0,0,3,0,0,0.111,0.111,0.111,0.222
Seth Maness,STL,9,1,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222
Tony Watson,PIT,9,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Michael Bolsinger,LA,8,5,0,2,0,0,0,1,0,0,0.625,0.625,1.125,1.75
Patrick Corbin,AZ,8,5,1,0,0,1,1,1,0,0,0.625,0.7,0.75,1.45
Vin Mazzaro,ATL,8,4,0,0,1,2,0,0,0,0,0.5,0.5,0.875,1.375
Tyson Ross,SD,8,3,0,0,1,3,0,1,0,0,0.375,0.375,0.75,1.125
Alfredo Simon,DET,8,3,0,0,0,2,1,0,0,0,0.375,0.444,0.375,0.819
Justin Wilson,NY-A,8,3,0,0,0,2,0,1,1,0,0.375,0.375,0.375,0.75
Trevor Rosenthal,STL,8,2,1,0,0,0,0,4,0,0,0.25,0.25,0.375,0.625
Tony Cingrani,CIN,8,1,0,0,1,1,1,1,0,1,0.125,0.222,0.5,0.722
Jared Hughes,PIT,8,1,0,0,0,1,1,1,1,0,0.125,0.222,0.125,0.347
Mark Melancon,PIT,8,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0
Randall Delgado,AZ,7,3,0,0,1,2,0,0,0,0,0.429,0.429,0.857,1.286
Nathan Eovaldi,NY-A,7,3,0,0,0,0,0,0,0,0,0.429,0.429,0.429,0.857
Gio Gonzalez,WAS,7,3,1,0,0,0,0,1,1,0,0.429,0.429,0.571,1.0
Ian Kennedy,SD,7,3,0,0,0,0,1,1,0,0,0.429,0.5,0.429,0.929
Aroldis Chapman,CIN,7,2,0,0,0,2,1,2,0,0,0.286,0.375,0.286,0.661
Tyler Cloyd, ,7,2,0,1,0,1,0,0,0,0,0.286,0.286,0.571,0.857
Matt Garza,MIL,7,2,0,0,0,0,0,2,0,0,0.286,0.286,0.286,0.571
Kyle Hendricks,CHI-N,7,2,0,0,0,0,0,0,0,0,0.286,0.286,0.286,0.571
