bb,Opponent,gdp,ibb,cs,po,avg,k,2b
5,MEM,0,0,0,21,0.267,3,0
3,Notre Dame,0,0,0,21,0.269,7,0
8,SO.MISS,0,0,1,21,0.257,3,1
2,UNCG,1,0,0,21,0.228,5,0
1,Radford,0,0,0,24,0.243,5,2
3,SO.MISS,0,0,0,21,0.256,1,0
4,Houston,0,0,0,21,0.274,4,1
3,Miami (Ohio),0,0,1,21,0.217,3,4
5,Indiana,0,0,0,22,0.177,6,0
0,UAB,0,0,1,21,0.269,5,1
6,UTEP,0,0,1,21,0.27,2,0
2,WSU,0,0,2,21,0.269,2,0
2,MEM,0,0,1,21,0.269,7,1
1,Michigan,0,0,0,18,0.12,10,1
5,Tulsa,0,0,1,18,0.249,5,2
1,Stetson,0,0,1,21,0.259,9,1
3,Tulsa,0,0,0,18,0.244,14,0
6,Drexel,0,0,1,21,0.226,7,0
