Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
10/25/2014,DC @ MTL,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/18/2014,CHI @ DC,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/12/2014,DC @ HOU,W 3-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/3/2014,KC @ DC,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/27/2014,PHI @ DC,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/20/2014,DC @ CHI,T 3-3,Unused Sub,0,0,0,0,0,0,0,0,0
9/10/2014,DC @ NY,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/6/2014,DC @ VAN,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/31/2014,NY @ DC,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/27/2014,DC @ LA,L 1-4,Unused Sub,0,0,0,0,0,0,0,0,0
8/23/2014,DC @ KC,W 3-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/17/2014,COL @ DC,W 2-4,Unused Sub,0,0,0,0,0,0,0,0,0
8/9/2014,DC @ RSL,L 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
8/3/2014,DC @ HOU,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/30/2014,TOR @ DC,W 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/20/2014,CHV @ DC,W 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/11/2014,DC @ SJ,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/5/2014,DC @ TOR,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
6/28/2014,SEA @ DC,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/11/2014,DC @ MTL,W 4-2,Unused Sub,0,0,0,0,0,0,0,0,0
6/7/2014,CLB @ DC,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/31/2014,KC @ DC,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/24/2014,DC @ NE,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/21/2014,HOU @ DC,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/17/2014,MTL @ DC,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/10/2014,DC @ PHI,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/3/2014,DC @ POR,L 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
4/26/2014,DAL @ DC,W 1-4,Unused Sub,0,0,0,0,0,0,0,0,0
4/19/2014,DC @ CLB,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/12/2014,NY @ DC,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/5/2014,NE @ DC,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/29/2014,CHI @ DC,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/22/2014,DC @ TOR,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/8/2014,CLB @ DC,L 3-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/26/2013,DAL @ SJ,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/20/2013,SJ @ LA,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/9/2013,COL @ SJ,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/29/2013,SJ @ CHV,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/21/2013,SJ @ RSL,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/14/2013,VAN @ SJ,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/8/2013,PHI @ SJ,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/31/2013,SJ @ LA,L 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
8/24/2013,SJ @ DAL,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/18/2013,KC @ SJ,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/10/2013,SJ @ VAN,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/3/2013,CHV @ SJ,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/27/2013,POR @ SJ,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/13/2013,SEA @ SJ,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/6/2013,SJ @ NE,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/3/2013,SJ @ CHI,L 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
6/29/2013,LA @ SJ,W 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
6/22/2013,SJ @ DC,L 0-1,Started,90,0,0,1,0,1,0,0,0
6/15/2013,SJ @ COL,W 2-1,Started,90,0,0,0,0,1,2,0,0
6/1/2013,SJ @ RSL,L 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
5/25/2013,SJ @ DAL,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/18/2013,COL @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/11/2013,SJ @ SEA,L 0-4,Unused Sub,0,0,0,0,0,0,0,0,0
5/8/2013,TOR @ SJ,W 1-2,Started,90,0,0,2,0,1,1,0,0
5/4/2013,MTL @ SJ,T 2-2,Started,90,0,0,1,0,1,3,0,0
