AST%,TS%,Tm,Opp,G,TRB%,Rk,GS
0.0,.000,UTA,LAL,24,0.0,24,0
0.0,.694,UTA,HOU,44,19.5,44,0
0.0,.500,UTA,CHI,46,9.0,46,0
0.0,1.000,UTA,LAL,28,6.1,28,0
0.0,1.031,UTA,DAL,7,16.0,7,0
0.0, ,UTA,MIN,30,0.0,30,0
0.0,.387,UTA,LAL,2,0.0,2,0
0.0,.000,UTA,TOR,13,18.3,13,0
0.0,.750,UTA,DET,41,0.0,41,0
0.0,.333,UTA,ORL,10,12.6,10,0
0.0,.000,UTA,PHI,22,0.0,22,0
0.0,1.000,UTA,SAS,4,0.0,4,0
0.0,.500,UTA,CHH,12,12.3,12,0
34.3,.600,UTA,DEN,8,14.8,8,1
0.0,.705,UTA,PHO,36,9.2,36,0
0.0,.872,UTA,GSW,32,0.0,32,0
0.0, ,UTA,MIN,3,0.0,3,0
0.0,1.000,UTA,LAC,40,0.0,40,0
0.0,.521,UTA,MIN,47,0.0,47,0
0.0,.333,UTA,NYK,16,11.4,16,0
0.0, ,UTA,LAC,48,0.0,48,0
13.5,.725,UTA,TOR,18,5.3,18,0
0.0,.000,UTA,GSW,23,0.0,23,0
17.6,.340,UTA,VAN,14,8.6,14,0
14.5,.820,UTA,WAS,42,6.6,42,0
0.0,.667,UTA,IND,20,0.0,20,0
21.4,.833,UTA,CHI,6,21.7,6,0
