SF,R,3B,SO,POS,RBI,GIDP,2B
1,7,0,41,1B,9,3,1
1,7,1,35,C,12,3,4
0,2,0,2,C,2,0,1
0,0,0,1,OF,0,0,0
1,17,0,35,SS,13,1,5
1,11,1,17,3B,10,0,2
1,11,0,17,C,7,3,3
0,18,0,32,RF,4,0,2
3,28,5,56,OF,25,8,9
3,15,0,44,C,17,3,12
0,13,0,25,3B,4,5,3
6,26,1,31,3B,38,6,8
0,0,0,0,3B,0,0,0
0,12,1,34,2B,7,1,3
0,25,2,22,RF,10,1,7
0,0,0,5,OF,0,0,0
5,48,6,57,OF,33,3,10
0,7,1,27,3B,6,5,3
0,12,1,16,2B,8,1,6
1,45,4,83,OF,45,5,14
3,29,2,52,OF,28,3,9
0,24,0,24,2B,12,4,5
1,29,4,34,3B,19,5,8
0,13,1,42,1B,16,5,3
0,11,1,21,1B,8,4,3
0,4,0,6,C,3,0,1
0,23,1,61,OF,25,5,7
2,38,1,19,3B,27,8,18
0,44,1,42,2B,14,1,8
1,14,0,17,C,11,2,0
1,20,0,32,1B,6,6,2
3,20,1,28,3B,19,6,3
1,22,3,56,DH,19,3,7
0,2,0,8,DH,1,0,0
0,25,0,42,1B,8,1,5
1,6,0,8,C,9,1,1
2,32,0,24,DH,20,9,5
0,0,0,0,C,1,0,0
0,2,0,13,SS,2,0,0
2,10,0,21,3B,17,2,2
1,8,0,16,1B,3,1,0
0,1,0,10,C,1,1,1
0,3,0,2,2B,2,0,0
0,9,0,18,C,6,2,1
2,29,1,59,SS,21,4,7
3,34,2,37,OF,36,3,12
3,6,0,8,C,6,2,2
6,35,0,69,3B,46,6,12
3,19,0,36,OF,25,1,5
0,1,0,0,CF,2,0,0
1,15,1,28,P,19,1,6
0,0,0,2,P,0,0,0
1,19,0,44,1B,18,6,6
0,42,2,39,OF,15,3,6
1,23,2,62,OF,15,1,3
0,14,0,18,2B,7,2,6
1,21,4,20,3B,29,5,9
2,20,0,63,OF,14,4,6
0,7,0,14,3B,4,1,2
4,16,0,22,OF,18,0,6
1,13,0,9,3B,14,1,1
0,8,1,40,OF,3,3,2
2,12,0,33,1B,10,1,7
2,15,0,10,OF,14,3,4
1,15,1,39,3B,5,2,2
3,17,1,30,1B,17,2,5
1,30,1,32,C,15,4,2
0,10,3,22,OF,12,3,5
3,10,1,37,1B,19,3,3
0,12,0,29,1B,6,0,5
0,13,0,14,C,3,0,5
2,36,0,32,2B,27,4,13
2,3,0,6,C,4,0,1
2,16,0,15,3B,22,7,5
1,10,0,11,P,4,1,0
3,12,0,32,C,15,6,4
1,25,2,37,3B,12,2,9
1,19,0,21,2B,12,6,4
0,1,0,10,C,0,1,0
0,8,2,36,OF,8,1,2
3,2,0,3,C,4,3,0
0,4,0,19,2B,2,0,1
0,12,1,30,OF,9,0,4
2,24,0,25,3B,5,1,3
1,27,1,24,SS,26,4,6
5,31,0,51,C,26,1,15
0,5,0,5,SS,3,1,1
0,6,0,30,C,10,1,6
5,50,5,66,LF,38,3,13
4,27,0,29,OF,22,5,11
1,31,1,19,3B,29,2,7
2,5,0,9,SS,7,1,2
1,8,0,29,OF,4,0,2
1,11,0,27,SS,3,2,2
0,14,1,4,3B,3,5,0
1,2,0,9,P,4,0,0
1,38,2,22,2B,21,5,8
0,28,0,39,OF,12,3,5
0,11,0,22,OF,12,3,3
5,39,5,37,SS,42,4,7
0,9,3,12,C,14,2,6
1,4,0,7,P,5,1,1
0,18,0,39,P,6,0,3
0,4,0,3,C,4,1,0
0,6,3,25,C,6,2,3
0,30,0,34,SS,15,1,4
1,18,2,35,2B,12,0,4
0,8,0,21,3B,3,0,1
0,11,0,38,1B,3,6,3
0,12,2,20,1B,17,5,3
3,18,0,31,1B,21,2,6
1,25,0,17,2B,10,2,8
4,33,3,33,SS,29,3,8
1,27,3,47,1B,15,4,5
2,26,2,24,OF,13,1,4
1,48,7,37,2B,28,4,10
0,2,0,6,C,1,2,0
0,0,0,0,P,0,0,0
0,18,3,36,2B,13,4,11
2,3,1,12,C,14,2,2
3,18,1,47,DH,17,5,4
1,17,1,16,2B,11,4,3
2,16,1,45,P,21,3,7
1,33,5,19,C,45,2,17
5,32,3,35,OF,33,6,10
1,9,0,12,C,3,1,5
1,21,1,33,3B,15,6,5
0,17,2,55,OF,14,0,3
2,22,0,19,DH,18,3,5
0,8,0,38,3B,5,2,2
1,7,0,13,C,4,0,1
0,10,0,21,C,6,2,4
0,41,1,33,SS,15,3,5
0,1,0,14,DH,0,1,1
1,15,2,74,P,13,3,4
1,27,3,14,CF,14,8,12
0,3,0,8,OF,1,1,0
0,17,3,11,C,14,4,3
2,11,1,23,C,11,5,2
1,7,0,10,SS,10,0,0
0,4,0,12,RF,3,0,1
0,2,0,29,OF,1,2,0
0,9,0,13,SS,2,2,0
0,4,1,11,C,7,0,0
0,38,4,31,SS,21,2,11
1,18,1,40,1B,10,3,4
0,15,0,24,SS,10,4,2
0,14,2,40,2B,3,0,1
0,16,2,20,OF,7,2,3
2,25,1,35,P,11,2,3
2,31,1,35,OF,23,7,12
2,25,2,64,OF,17,5,9
1,1,0,13,C,6,0,2
3,19,0,36,C,14,1,9
0,16,0,50,OF,7,2,5
0,9,0,22,1B,9,4,3
0,12,1,18,OF,8,0,2
0,26,2,31,OF,19,3,4
5,32,1,34,1B,37,0,9
0,7,1,31,OF,6,2,2
1,9,0,13,3B,7,1,0
4,9,2,17,2B,11,2,0
0,0,0,17,1B,2,1,1
0,6,0,16,C,1,2,1
0,11,0,26,LF,8,3,3
0,0,0,1,OF,0,0,0
0,1,0,4,C,2,0,1
3,36,4,31,SS,17,4,9
0,20,1,45,2B,12,2,3
0,4,0,9,SS,3,2,2
2,26,1,41,3B,23,1,7
1,22,1,24,SS,18,0,6
0,5,0,12,OF,2,2,1
0,5,0,11,DH,1,0,0
0,10,3,24,C,17,4,4
0,0,0,0,P,0,0,0
4,9,1,24,1B,15,3,6
1,37,4,26,DH,19,5,8
0,3,0,9,2B,1,2,1
0,8,0,24,SS,3,0,2
0,18,4,24,RF,18,4,5
2,9,0,23,C,11,0,6
3,14,2,32,CF,16,2,4
5,41,3,21,C,30,3,8
1,16,1,68,OF,19,5,1
4,33,1,51,LF,20,2,6
2,46,0,30,CF,23,0,6
1,32,1,27,RF,14,1,2
0,33,1,31,2B,21,2,5
0,2,0,19,2B,3,2,2
2,36,3,26,SS,16,4,4
2,39,6,72,CF,23,3,4
0,8,0,12,C,7,2,4
0,5,0,17,C,5,2,3
1,23,5,33,2B,14,2,7
8,32,0,29,3B,22,4,9
3,31,0,25,C,28,4,19
0,6,0,24,OF,3,1,2
0,11,1,15,OF,8,1,4
2,24,0,40,2B,9,3,5
1,32,0,38,RF,33,4,6
1,4,0,15,C,6,4,2
1,1,0,9,C,4,0,0
0,27,1,17,2B,15,3,11
1,21,1,29,3B,18,2,4
0,8,0,7,3B,8,1,4
1,16,0,25,RF,10,2,2
1,22,0,30,LF,16,5,10
1,10,0,13,SS,12,1,6
0,9,0,27,LF,4,0,1
6,25,2,56,1B,46,8,14
0,16,1,42,3B,11,4,6
6,33,0,51,3B,38,3,10
1,9,0,12,C,8,3,0
0,4,0,12,OF,1,0,0
1,16,3,12,2B,12,0,3
1,26,3,41,LF,24,0,6
0,14,1,15,SS,0,0,5
0,23,5,51,OF,15,7,7
0,6,0,6,C,5,2,0
1,40,3,32,2B,26,4,9
5,40,4,21,1B,44,2,13
2,8,0,20,CF,6,1,1
1,27,4,54,DH,11,2,6
0,0,0,10,C,0,0,0
0,3,0,6,C,2,0,2
0,11,0,24,1B,8,2,3
0,1,0,5,P,1,0,1
2,5,0,17,1B,14,7,5
3,13,0,26,C,20,2,7
0,2,0,8,C,0,1,0
0,12,2,20,OF,12,2,2
2,42,5,48,OF,37,4,10
0,0,0,0,P,1,0,0
0,4,0,8,OF,0,1,1
2,13,0,28,C,18,2,9
1,13,2,29,C,13,1,4
0,1,0,4,C,0,0,0
0,11,1,8,OF,14,2,5
1,27,3,86,CF,7,1,5
0,9,0,16,1B,7,2,2
0,18,1,17,1B,15,6,6
0,11,0,31,C,9,5,2
0,12,0,8,C,16,3,6
0,3,0,12,OF,1,0,0
0,2,2,17,OF,5,2,1
1,2,0,15,3B,5,0,2
3,14,0,37,OF,15,1,4
3,28,5,44,OF,26,3,11
0,4,0,10,1B,4,1,0
0,0,0,2,1B,2,0,0
1,15,0,26,2B,5,2,0
4,43,10,35,2B,27,2,7
0,2,1,5,CF,1,0,0
2,12,0,26,C,7,1,5
