Local Time,Temperature,Dewpoint,Humidity,Barometer,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1:52 AM,28.0 °F,21.0 °F,75 %,29.72 in,10.0 mi,NNW (340°),29.9 mph,38.0 mph, , ,Overcast
2:26 AM,28.4 °F,21.2 °F,74 %,29.63 in,1.8 mi,NNW (340°),31.1 mph,39.1 mph,0.00 in,Snow,Light Snow
2:32 AM,28.4 °F,19.4 °F,69 %,29.63 in,3.0 mi,NNW (340°),27.6 mph,39.1 mph,0.00 in,Snow,Light Snow
2:52 AM,30.0 °F,19.0 °F,64 %,29.69 in,10.0 mi,NNW (340°),20.7 mph,29.9 mph,0.00 in, ,Overcast
3:52 AM,30.0 °F,21.0 °F,69 %,29.69 in,10.0 mi,NNW (340°),28.8 mph,38.0 mph, , ,Overcast
4:52 AM,30.0 °F,21.0 °F,69 %,29.70 in,10.0 mi,NNW (340°),25.3 mph,32.2 mph, , ,Overcast
5:52 AM,28.9 °F,23.0 °F,78 %,29.71 in,10.0 mi,NNW (340°),26.5 mph,36.8 mph, , ,Overcast
6:38 AM,28.4 °F,24.8 °F,86 %,29.64 in,3.0 mi,NNW (340°),28.8 mph,36.8 mph,0.00 in,Snow,Light Snow
6:46 AM,28.4 °F,24.8 °F,86 %,29.64 in,3.0 mi,NNW (340°),26.5 mph,35.7 mph,0.00 in,Snow,Light Snow
6:47 AM,28.0 °F,24.1 °F,85 %,29.74 in,3.0 mi,NNW (340°),26.5 mph,35.7 mph,0.00 in,Snow,Light Snow
6:54 AM,28.4 °F,24.8 °F,86 %,29.64 in,2.0 mi,NNW (340°),28.8 mph,38.0 mph,0.00 in,Snow,Light Snow
7:05 AM,28.4 °F,24.8 °F,86 %,29.65 in,1.8 mi,NNW (340°),28.8 mph,39.1 mph,0.00 in,Snow,Light Snow
7:27 AM,28.4 °F,24.8 °F,86 %,29.65 in,0.5 mi,NNW (340°),28.8 mph,39.1 mph,0.00 in,Fog-Snow,Snow
7:52 AM,28.9 °F,25.0 °F,85 %,29.75 in,0.8 mi,NNW (340°),31.1 mph,42.6 mph,0.00 in,Snow,Light Snow
8:04 AM,28.4 °F,24.8 °F,86 %,29.66 in,0.8 mi,NNW (340°),31.1 mph,40.3 mph,0.00 in,Snow,Light Snow
8:15 AM,28.4 °F,26.6 °F,93 %,29.67 in,0.8 mi,NNW (340°),28.8 mph,41.4 mph,0.02 in,Snow,Light Snow
8:52 AM,28.0 °F,25.0 °F,88 %,29.78 in,0.5 mi,NNW (340°),33.4 mph,40.3 mph,0.03 in,Fog-Snow,Snow
9:18 AM,28.4 °F,24.8 °F,86 %,29.69 in,0.5 mi,NNW (340°),33.4 mph,42.6 mph,0.01 in,Fog-Snow,Snow
9:30 AM,28.4 °F,24.8 °F,86 %,29.70 in,0.5 mi,NNW (340°),35.7 mph,42.6 mph,0.01 in,Fog-Snow,Light Snow
9:32 AM,28.4 °F,24.8 °F,86 %,29.70 in,0.5 mi,NNW (340°),35.7 mph,42.6 mph,0.01 in,Fog-Snow,Light Snow
9:52 AM,28.9 °F,23.0 °F,78 %,29.80 in,1.2 mi,NNW (340°),34.5 mph,42.6 mph,0.01 in,Snow,Light Snow
10:42 AM,28.4 °F,24.8 °F,86 %,29.73 in,3.0 mi,NNW (340°),39.1 mph,46.0 mph,0.02 in,Snow,Light Snow
10:52 AM,28.9 °F,24.1 °F,82 %,29.82 in,9.0 mi,NNW (340°),33.4 mph,47.2 mph,0.02 in,Snow,Light Snow
11:06 AM,28.4 °F,21.2 °F,74 %,29.73 in,7.0 mi,NNW (330°),38.0 mph,49.5 mph,0.00 in,Snow,Light Snow
11:44 AM,28.4 °F,19.4 °F,69 %,29.74 in,9.0 mi,NNW (340°),33.4 mph,44.9 mph,0.00 in,Snow,Light Snow
11:52 AM,28.0 °F,19.0 °F,69 %,29.84 in,6.0 mi,NNW (340°),33.4 mph,47.2 mph,0.00 in,Snow,Light Snow
12:52 PM,28.9 °F,19.9 °F,69 %,29.84 in,9.0 mi,NNW (330°),29.9 mph,44.9 mph,0.00 in,Snow,Light Snow
1:52 PM,28.9 °F,19.9 °F,69 %,29.84 in,10.0 mi,NNW (340°),27.6 mph,46.0 mph,0.00 in, ,Overcast
2:32 PM,28.4 °F,23.0 °F,80 %,29.77 in,1.8 mi,NNW (330°),31.1 mph,40.3 mph,0.00 in,Snow,Light Snow
2:52 PM,28.0 °F,21.9 °F,78 %,29.88 in,1.5 mi,NNW (330°),33.4 mph,46.0 mph,0.00 in,Snow,Light Snow
2:59 PM,26.6 °F,23.0 °F,86 %,29.80 in,0.2 mi,NNW (330°),34.5 mph,46.0 mph,0.00 in,Fog-Snow,Heavy Snow
3:03 PM,26.6 °F,21.2 °F,80 %,29.79 in,0.5 mi,NNW (330°),29.9 mph,44.9 mph,0.00 in,Snow,Snow
3:08 PM,28.4 °F,21.2 °F,74 %,29.79 in,2.0 mi,NNW (330°),26.5 mph,40.3 mph,0.00 in,Snow,Light Snow
3:11 PM,28.4 °F,21.2 °F,74 %,29.80 in,7.0 mi,NNW (340°),28.8 mph,40.3 mph,0.00 in, ,Overcast
3:18 PM,28.4 °F,21.2 °F,74 %,29.80 in,2.5 mi,NNW (330°),33.4 mph,41.4 mph,0.00 in,Snow,Light Snow
3:29 PM,28.4 °F,21.2 °F,74 %,29.80 in,9.0 mi,NNW (330°),28.8 mph,39.1 mph,0.00 in, ,Overcast
3:52 PM,28.9 °F,19.0 °F,67 %,29.91 in,10.0 mi,NNW (330°),33.4 mph,42.6 mph,0.00 in, ,Overcast
4:52 PM,26.1 °F,19.0 °F,75 %,29.96 in,10.0 mi,NNW (330°),35.7 mph,46.0 mph,0.00 in, ,Overcast
5:52 PM,25.0 °F,16.0 °F,69 %,29.99 in,10.0 mi,NNW (330°),33.4 mph,44.9 mph, , ,Overcast
