GmSc,MP,USG%,GS,Opp,DRtg,Date
1.6,10:00,4.7,0,DET,101,1995-03-29
-0.8,6:00,38.3,0,CHI,118,1995-03-28
5.1,22:00,13.0,0,DEN,109,1995-03-23
2.3,15:00,9.4,0,ATL,123,1995-03-10
-3.1,8:00,22.2,0,BOS,123,1995-03-07
-1.1,3:00,30.3,0,IND,107,1995-04-04
5.3,15:00,13.0,0,PHI,92,1994-12-05
5.1,19:00,17.1,0,PHO,110,1994-12-16
7.3,16:00,11.6,0,SAC,91,1994-12-15
2.9,13:00,12.5,0,SAS,108,1994-11-12
-1.6,23:00,12.2,0,POR,113,1994-12-18
11.0,34:00,19.9,1,ATL,88,1994-11-19
1.4,8:00,5.6,0,WSB,90,1995-03-17
-0.2,10:00,8.7,0,ATL,91,1994-12-09
4.1,21:00,13.7,0,BOS,110,1995-03-08
3.1,13:00,8.1,0,MIA,126,1994-12-12
3.6,20:00,14.1,0,NJN,93,1994-12-20
8.3,18:00,11.1,0,NJN,90,1994-12-27
-0.5,8:00,0.0,0,DET,109,1995-04-08
-1.0,12:00,22.9,0,MIA,101,1995-02-17
4.1,17:00,17.9,0,ORL,117,1994-12-02
0.8,8:00,33.1,0,CHI,102,1994-12-25
1.7,9:00,10.0,0,UTA,108,1994-11-14
5.5,13:00,19.7,0,CHI,111,1995-04-16
11.0,18:00,17.5,0,BOS,89,1994-12-06
2.1,11:00,12.6,0,WSB,100,1995-04-13
1.2,11:00,15.6,0,ORL,99,1994-11-10
-0.1,11:00,19.7,0,CHH,108,1994-11-26
1.4,20:00,6.8,0,DAL,95,1995-03-31
