Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Pablo Urena,DSL,43,3,11,1,0,0,3,0,0,1,9,0.256,0.304,0.279,0.583
Matthew Marquis,3 Teams,75,6,17,4,0,0,7,3,2,5,34,0.227,0.301,0.28,0.581
Lucas LeBlanc,SalGre,77,7,15,5,0,1,7,0,3,6,24,0.195,0.279,0.299,0.578
Dreily Guerrero,GreLow,62,4,15,3,0,0,7,1,0,3,18,0.242,0.284,0.29,0.574
Kendrick Perkins,Low,39,8,8,4,0,0,4,0,0,3,20,0.205,0.262,0.308,0.57
J.T. Watkins,Low,15,2,2,0,0,1,3,0,0,2,3,0.133,0.235,0.333,0.569
Kevin Segovia,DSL,15,2,3,0,0,0,1,0,0,3,8,0.2,0.368,0.2,0.568
Cleuluis Rondon,LowGCL,46,6,10,1,2,0,5,0,0,2,14,0.217,0.24,0.326,0.566
Derrik Gibson,Por,121,13,26,4,1,0,5,5,1,12,30,0.215,0.294,0.264,0.559
Leonel Escobar,Gre,9,1,2,1,0,0,2,0,0,0,3,0.222,0.222,0.333,0.556
Matthew Gedman,Low,50,6,9,0,0,2,5,1,0,4,8,0.18,0.255,0.3,0.555
Oscar Tejeda,Por,61,5,12,3,0,1,7,1,0,5,19,0.197,0.258,0.295,0.553
Aneury Tavarez,Low,64,5,15,4,0,0,3,1,1,2,21,0.234,0.254,0.297,0.551
Bryan Johns,3 Teams,80,8,13,6,0,0,6,2,1,15,24,0.163,0.306,0.238,0.544
Oscar Perez,Low,41,5,9,2,0,0,4,0,0,2,13,0.22,0.273,0.268,0.541
Osvaldo Almengo,DSL,39,3,7,2,0,1,5,0,0,2,18,0.179,0.233,0.308,0.54
Ricardo Andujar,DSL,46,3,9,1,0,0,5,3,1,7,12,0.196,0.321,0.217,0.539
Felix Sanchez,Sal,44,3,9,0,0,1,5,6,0,3,17,0.205,0.265,0.273,0.538
Andres Garcia,DSL,61,9,8,2,1,0,10,0,1,18,13,0.131,0.341,0.197,0.538
Kevin Mager,LowGCL,33,4,6,1,0,0,5,0,0,4,9,0.182,0.325,0.212,0.537
Keaton Briscoe,GCL,32,9,5,1,1,0,7,0,0,7,13,0.156,0.286,0.25,0.536
Che-Hsuan Lin,Paw,115,11,24,1,0,0,7,4,0,17,28,0.209,0.308,0.217,0.526
Williams Jerez,Low,27,2,6,0,0,0,1,1,0,3,6,0.222,0.3,0.222,0.522
Jose Iglesias,PawLow,95,10,19,1,1,0,5,1,0,10,17,0.2,0.283,0.232,0.515
Tony Thomas,Paw,74,8,15,4,0,0,5,3,0,6,23,0.203,0.253,0.257,0.51
