SB,2B,3B,G,CS,Yrs,HR
0,0,0,7,0,2,0
0,0,1,516,0,11,1
1,4,1,412,1,12,0
0,0,0,35,0,2,0
7,74,12,475,3,6,29
0,4,0,108,0,6,0
33,194,21,1284,26,12,206
0,0,0,2,0,1,0
5,21,0,264,5,4,27
0,0,0,45,0,3,0
0,2,0,23,0,2,0
0,0,0,561,0,10,0
0,0,0,1,0,1,0
17,181,20,889,7,9,135
0,1,0,13,1,1,0
0,0,0,7,0,2,0
0,0,0,4,0,1,0
0,0,0,23,1,1,0
10,68,5,374,5,4,23
0,0,0,29,0,1,0
18,57,6,280,18,5,34
1,19,4,475,0,13,1
0,0,0,11,0,1,0
0,0,0,4,0,1,0
1,2,0,33,0,2,0
6,18,4,393,5,10,14
0,0,0,116,0,8,0
0,5,0,263,0,10,0
0,0,0,29,0,3,0
0,13,3,134,3,2,6
0,0,0,27,0,2,0
2,20,1,138,1,2,9
