TOV%,ORtg,TS%,MP,Tm
0.0,69,.174,16:13,LAC
50.0,100,1.000,4:20,LAC
 , , ,3:10,LAC
6.8,134,.654,32:45,LAC
 , , ,4:02,LAC
0.0,0,.000,9:08,LAC
25.0,85,.444,37:04,LAC
25.0,115,.667,18:38,LAC
50.0,54,.000,6:35,LAC
33.3,33,.000,7:18,LAC
8.7,83,.431,28:56,LAC
 , , ,3:08,LAC
0.0,119,.500,7:32,LAC
 , , ,2:03,LAC
0.0,0,.000,3:39,LAC
20.0,113,.750,23:29,LAC
29.1,70,.410,11:30,LAC
 ,206, ,11:40,LAC
60.0,41,.500,26:42,LAC
17.5,89,.371,26:20,LAC
0.0,200,1.000,18:53,LAC
14.5,69,.340,37:24,LAC
0.0,160,.667,11:21,LAC
6.5,120,.556,36:32,LAC
0.0,141,.628,27:58,LAC
0.0,202,1.000,6:10,LAC
20.2,87,.508,24:53,LAC
