iFenwick,iFenwick/60,A,G
149,5.31,13,6
123,4.98,15,4
370,9.30,44,31
409,9.71,55,41
159,5.19,9,3
419,14.72,18,22
300,11.57,20,11
285,5.01,31,17
176,5.55,17,1
273,7.28,27,17
180,5.82,22,6
259,6.16,34,23
239,7.11,9,3
229,3.85,24,4
353,9.61,39,29
166,2.98,20,6
492,11.43,56,36
215,5.71,13,4
353,7.88,37,29
633,11.64,62,52
352,9.66,20,21
391,6.39,35,14
390,8.67,54,32
429,7.31,30,13
191,8.31,21,9
292,4.65,39,6
353,6.80,24,10
312,8.08,34,14
236,4.43,33,4
386,9.90,41,29
261,5.07,33,4
291,10.03,23,14
342,9.30,35,30
258,5.36,23,4
103,4.49,4,2
261,8.41,17,19
216,8.46,16,10
451,9.95,41,32
620,11.53,60,52
185,5.31,14,5
257,9.99,34,17
239,5.54,31,5
257,7.17,33,27
187,3.95,33,8
474,10.43,63,47
70,3.17,7,1
239,5.41,47,24
289,5.11,31,9
372,6.63,34,13
378,7.14,34,6
104,3.89,12,2
137,4.69,9,7
291,6.13,35,7
422,11.86,55,31
350,9.40,43,28
112,3.85,14,2
102,3.06,9,0
452,8.42,42,21
306,8.65,28,17
225,8.39,27,17
116,4.74,17,5
231,8.07,14,12
278,5.11,34,6
357,8.97,55,23
185,6.16,25,15
670,11.42,48,17
241,4.62,32,7
434,9.49,25,40
510,11.95,45,25
467,10.62,49,40
192,5.01,33,5
367,8.54,62,33
220,6.00,32,16
127,5.63,6,4
434,9.39,44,27
315,6.04,44,10
382,8.10,45,32
449,9.77,50,28
181,4.49,33,6
355,6.30,34,10
287,8.02,41,21
267,9.36,41,20
413,9.03,60,32
345,8.60,34,24
402,8.28,75,39
187,7.33,26,13
359,9.97,37,16
223,3.98,24,5
556,8.54,41,16
418,11.25,33,18
487,13.35,43,32
397,9.39,49,23
603,12.74,74,45
175,4.24,21,2
196,5.24,21,7
324,11.59,32,25
396,6.70,36,7
268,6.13,28,4
368,8.41,27,30
91,3.02,6,4
119,4.38,8,4
256,6.17,21,10
336,12.97,16,18
382,7.34,39,11
72,3.26,9,4
462,9.59,52,40
147,6.04,7,6
464,11.40,32,33
245,4.33,32,3
406,11.41,27,22
425,11.91,38,23
768,14.21,64,54
211,7.89,17,20
319,7.95,26,20
473,10.59,47,41
209,4.23,26,4
438,10.32,57,34
231,9.06,15,14
139,4.73,17,1
420,6.80,44,10
664,12.52,49,51
186,4.02,23,3
195,5.36,28,2
558,13.50,54,35
415,12.39,31,21
426,9.26,33,32
172,6.53,17,15
267,6.41,17,8
535,8.41,53,13
323,5.34,26,12
160,4.16,21,4
360,10.80,26,23
419,10.33,29,26
241,4.72,29,1
406,8.09,36,11
86,3.85,12,1
211,10.04,19,12
221,7.57,16,10
366,10.91,37,23
142,3.59,31,5
145,3.47,14,2
322,9.44,33,19
71,3.38,14,6
163,4.26,23,6
330,9.74,21,16
304,9.54,26,15
168,5.14,27,15
310,8.53,31,12
305,10.53,18,21
296,7.32,17,24
391,10.84,23,19
317,8.21,40,24
228,5.64,16,5
212,4.83,24,4
258,6.06,41,31
218,7.95,13,3
376,6.32,29,11
102,4.27,13,0
355,10.55,40,33
282,5.91,23,4
176,4.31,20,5
415,10.71,43,33
346,10.22,16,22
