Player,TOV,FTA,DRB,FG%,BPG,#,PPG,MPG
Kyle McAlarney,1.4,1.5,1.1,0.5,0.0,85,10.7,21.7
Nicolas Lang,0.6,0.8,1.6,0.357,0.0,47,6.0,18.1
Markus Loncar,3.2,0.5,2.5,0.526,0.8,7,5.5,23.7
Eric Palm,2.4,7.5,3.8,0.437,0.1,49,26.5,36.7
Oleg Baranov,1.0,2.0,4.5,0.182,1.0,23,4.5,26.5
Fernando Alonso,1.5,2.8,1.0,0.5,0.0,97,13.5,22.3
Aleksandar Jevdic,0.9,2.1,2.3,0.5,0.1,39,12.9,36.4
Andrea Benevelli,0.9,0.9,1.5,0.492,0.3,44,7.2,19.0
Pablo Movilla,1.2,0.4,0.8,0.405,0.0,17,4.3,15.4
Brano Dukanovic,1.0,0.3,1.0,0.374,0.1,10,6.0,16.4
Pete Campbell,1.1,1.3,4.2,0.421,0.0,90,13.5,31.8
Robert Clarke,1.4,0.4,0.5,0.394,0.2,20,6.8,15.4
Tamas Okros,1.7,0.3,0.7,0.5,0.0,27,6.7,23.6
Francisco Sanchez,1.9,1.8,2.8,0.451,0.1,86,15.7,28.5
Imre Kovacs,0.9,0.2,2.1,0.407,0.3,31,4.9,21.8
Albert Oliver,1.6,4.4,2.1,0.421,0.1,50,11.4,21.2
Francesc Iturria,1.8,2.8,3.2,0.382,0.0,2,14.5,28.5
Mathieu Tensorer,1.1,0.4,1.2,0.467,0.1,29,5.4,16.1
Christoph Knor,0.5,0.5,1.6,0.376,0.0,64,8.5,22.7
Levi Rost,1.1,3.1,2.2,0.431,0.3,62,12.7,27.5
Eden Paas,2.2,0.5,1.8,0.583,0.2,37,8.8,31.6
Christian Schmidt,1.5,4.0,3.0,0.469,0.0,19,21.0,28.0
Sten Olmre,5.3,2.7,2.7,0.533,0.0,24,13.3,35.0
Raul Mena,2.2,0.8,1.3,0.365,0.0,95,4.0,20.1
Jeb Ivey,2.4,2.7,2.2,0.448,0.1,77,15.6,34.8
Jean-Michel Mipoka,1.1,0.9,2.0,0.402,0.2,81,6.9,18.2
Hreinn Birgisson,1.1,0.4,1.6,0.309,0.1,16,4.0,19.4
Zeljko Bojovic,1.0,1.1,1.8,0.388,0.1,67,6.6,20.1
Benoit Gillet,0.9,0.3,1.1,0.451,0.1,33,7.5,23.9
Jacob Holmes,1.4,1.1,5.9,0.315,0.1,83,6.0,29.5
Nick Boakye,1.0,0.5,1.8,0.438,0.2,6,4.2,18.1
Raul Lopez,1.4,1.2,1.5,0.374,0.0,40,5.8,20.4
Nacho Ordin,1.5,1.4,1.5,0.474,0.0,70,8.1,22.6
Marcus Whittaker,2.0,1.0,5.5,0.393,0.0,8,16.0,30.0
