SO,BB,HR,POS,SLG,SB,Player,SF,2B,SH
75,42,8,2B,.441,5,E Gonzalez,6,25,2
21,7,0,OF,.253,7,B Watson,0,1,1
23,16,2,C,.320,1,G Torres,1,8,3
17,6,2,C,.313,0,K Phillips,3,1,1
6,1,0,3B,.579,0,V Rooi,0,3,0
24,23,1,1B,.328,0,R Lane,1,6,0
8,2,1,OF,.220,0,J Belcher,1,1,0
28,18,4,OF,.481,1,M Nieves,0,5,0
3,0,0,OF,.313,0,J Herrera,1,1,0
81,45,11,2B,.416,7,A Baldiris,2,35,9
8,4,0,3B,.136,0,J Hannahan,0,0,0
20,15,0,2B,.288,0,B Pattee,1,12,3
38,17,4,OF,.325,0,C Keylor,0,6,0
7,1,0,OF,.133,1,M Nettles,0,0,2
128,22,5,SS,.284,6,R Tablado,3,13,2
2,1,0,3B,.571,0,J Roughton,0,1,0
3,1,0,C,.100,0,J Cortez,0,0,1
25,24,2,OF,.282,1,J Inglin,4,7,0
8,1,0,3B,.270,0,B LeVier,0,2,1
50,16,7,LF,.323,2,D Brown,2,8,0
35,14,2,OF,.351,10,J Feliciano,3,13,6
75,32,3,SS,.373,12,T Giarratano,3,22,3
94,35,25,1B,.589,1,M Jacobs,6,37,1
3,1,0,C,.300,0,J Morales,0,1,0
82,34,5,CF,.391,13,P Bergeron,4,14,14
68,51,1,OF,.317,8,W Cliffords,4,19,8
67,30,11,OF,.478,3,J Cooper,4,9,0
38,16,0,SS,.273,2,B Chaves,1,6,3
101,43,4,1B,.290,0,M Huggins,4,15,0
105,38,22,OF,.535,2,K Airoso,4,29,0
76,43,4,OF,.369,45,R Davis,1,22,6
1,1,0,2B,.600,0,E Cruz,0,1,1
65,22,14,2B,.578,2,D DeMent,4,23,2
4,2,1,C,.563,0,O Martinez,0,5,0
19,8,5,C,.519,2,R Hubele,0,2,1
4,3,0,OF,.158,0,M Scanlon,0,0,0
46,35,11,SS,.373,22,M Dorta,3,16,11
34,12,6,2B,.386,0,L Maza,2,9,1
47,7,5,3B,.302,1,S Bailie,0,5,0
56,26,5,C,.328,1,J Hietpas,0,8,6
36,33,1,SS,.358,6,J Labandeira,0,16,1
108,41,11,3B,.387,7,T Johnson III,4,29,1
101,48,23,3B,.503,7,J Bautista,2,27,2
108,34,15,3B,.410,0,J Richardson,2,15,0
6,1,0,2B,.364,0,B Ditter,0,1,0
1,1,0,C,.429,0,G Gil,0,0,0
2,2,0,C,.500,0,G Zaun,0,1,0
119,56,16,OF,.479,2,D Deeds,3,34,1
73,14,2,C,.266,1,T Gradoville,3,6,2
114,43,19,1B,.473,8,S Pond,1,25,0
37,17,4,LF,.472,2,P Redman,6,12,1
84,34,8,OF,.422,29,C Valderrama,4,33,2
50,26,5,OF,.385,10,J Tomlin,0,21,17
7,4,1,1B,.250,0,M O'Keefe,1,0,0
51,8,5,OF,.346,7,V Hall,2,6,3
41,18,2,SS,.291,0,D Gonzalez,1,5,2
16,6,0,OF,.254,1,J Slack,1,2,6
41,27,1,SS,.277,6,R Nieves,2,9,2
71,44,3,SS,.367,17,B Fahey,6,21,22
68,26,5,3B,.322,0,S Norris,4,10,5
19,9,4,C,.426,0,C Thigpen,0,8,4
94,55,15,2B,.479,5,R Roberts,1,19,1
58,19,5,OF,.421,10,R Walter,1,13,1
58,10,7,1B,.459,2,C Cannon,0,13,0
23,7,1,OF,.291,0,C Porter,0,2,0
98,20,12,3B,.405,2,C Maples,4,24,4
78,37,9,2B,.399,5,J Hammond,5,18,1
25,6,1,SS,.282,1,A Lunetta,1,3,0
20,10,1,C,.207,0,T Lunsford,1,1,2
75,21,9,SS,.401,4,C Ragsdale,1,5,5
7,1,0,OF,.263,0,S Neuberger,0,0,1
21,12,1,OF,.313,11,R Nivar,0,7,2
11,4,1,SS,.278,0,J Lorenzo,1,0,1
104,45,16,1B,.462,3,L Jimenez,0,29,0
92,38,15,3B,.426,1,J Caligiuri,5,20,1
35,18,4,SS,.375,7,K Perez,3,9,2
26,34,8,2B,.508,7,D Pedroia,2,19,2
57,10,9,C,.390,1,C Curry,0,12,6
85,26,16,1B,.533,0,B Harper,1,11,0
63,37,5,OF,.360,11,J Duncan,2,9,1
5,0,0,OF,.333,0,R Church,0,1,0
9,6,1,SS,.476,0,R Triplett,1,6,0
68,41,2,SS,.344,9,T Hutting,1,17,14
11,9,1,OF,.378,1,D Trumble,0,3,1
8,10,2,SS,.383,1,A Prieto,1,2,0
