h,Opponent,score
10,BYU,1-8
10,New Mexico,5-6
10,Tulsa,2-5
10,Missouri State,0-6
3,COLORADO STATE,5-2
14,Arizona,2-10
11,San Diego,6-8
7,Northwestern,11-3
8,UNLV,15-6
8,Fresno State,0-5
8,NEVADA,10-2
7,UTSA,9-6
4,Rutgers,3-1
7,NEVADA,7-6
7,Southern Utah,5-3
6,SAN DIEGO STATE,5-3
3,Utah State,2-0
9,Tulsa,6-6
6,PORTLAND STATE,6-2
7,COLORADO STATE,3-2
5,San Diego,5-3
11,Long Beach State,2-6
6,UTAH STATE,3-5
6,Texas Tech,4-2
11,Rutgers,2-9
5,UCLA,4-5
3,PORTLAND STATE,2-1
11,IDAHO STATE,8-7
6,SAN DIEGO STATE,2-3
4,Texas Tech,2-3
