waaWL%,PA,Rbat,WAA,oRAR,G,Age,oWAR
.493,1,-0,-0.0,-0,2,28,-0.0
.501,0,0,0.0,0,26,29,0.0
.500,0,0,0.0,0,29,40,0.0
.503,23,-1,0.0,0,9,36,0.0
.492,394,-4,-0.8,15,85,26,1.4
.493,60,-3,-0.3,-1,45,35,-0.1
.502,120,-3,0.1,1,49,25,0.1
.507,10,-1,0.1,0,7,30,0.1
.523,47,2,0.5,2,21,27,0.2
.500,0,0,0.0,0,16,32,0.0
.501,0,0,0.0,0,37,38,0.0
.484,164,-8,-0.8,-1,50,36,-0.1
.499,0,0,0.0,0,1,24,0.0
.490,683,9,-1.7,23,160,26,2.1
.505,94,-13,0.2,2,35,29,0.2
.501,0,0,0.0,0,4,32,0.0
.501,0,0,0.0,0,21,27,0.0
.414,5,-1,-0.2,-1,2,25,-0.1
.483,11,-0,-0.1,-0,8,25,-0.0
.517,11,-0,0.1,1,8,35,0.1
.492,13,-3,-0.1,-1,8,27,-0.1
.501,0,0,0.0,0,15,35,0.0
.497,201,-5,-0.3,4,92,30,0.3
.489,24,-6,-0.2,-2,14,27,-0.2
.473,48,-4,-0.8,-1,30,25,-0.1
.500,0,0,0.0,0,29,23,0.0
.498,6296,-76,-6.3,177,2335,29.4,15.7
