Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Zach Gentile,Sal,8,26,6,9,3,0,0,5,1,0,7,4,0.346,0.485,0.462,0.946
Jackie Bradley,Sal,66,231,52,82,25,2,3,33,16,7,52,40,0.355,0.478,0.519,0.998
Travis Shaw,Sal,98,352,69,108,31,3,16,73,11,2,59,81,0.307,0.413,0.548,0.962
Adalberto Ibarra,Sal,75,247,31,68,15,1,0,25,8,4,38,39,0.275,0.386,0.344,0.731
Xander Bogaerts,Sal,103,383,59,115,27,3,15,64,4,4,42,85,0.3,0.375,0.504,0.879
David Chester,Sal,7,25,4,9,1,0,1,5,0,0,1,7,0.36,0.37,0.52,0.89
Drew Hedman,Sal,61,188,30,47,13,3,5,33,10,1,34,51,0.25,0.367,0.431,0.798
Christian Vazquez,Sal,80,291,43,78,17,0,7,41,2,2,40,69,0.268,0.362,0.399,0.761
Michael Almanzar,Sal,123,452,62,136,36,0,12,54,9,5,33,75,0.301,0.355,0.46,0.815
Matty Johnson,Sal,48,155,28,41,10,1,1,17,5,6,21,23,0.265,0.352,0.361,0.713
Ryan Kalish,Sal,3,12,3,4,0,0,1,1,1,1,0,3,0.333,0.333,0.583,0.917
Brandon Jacobs,Sal,113,435,62,109,30,0,13,60,19,10,39,128,0.251,0.322,0.409,0.731
Felix Sanchez,Sal,45,143,15,36,6,1,1,13,24,4,10,42,0.252,0.319,0.329,0.647
Sean Coyle,Sal,115,434,59,108,31,2,9,62,16,1,29,116,0.249,0.316,0.392,0.708
Heiker Meneses,Sal,62,250,35,68,16,4,2,32,17,10,9,55,0.272,0.313,0.392,0.705
Keury De La Cruz,Sal,6,25,1,7,2,0,1,6,1,1,1,2,0.28,0.308,0.48,0.788
Shannon Wilkerson,Sal,100,386,50,104,19,5,4,42,29,8,20,72,0.269,0.303,0.376,0.678
Carson Blair,Sal,51,165,25,34,11,3,3,24,2,3,21,48,0.206,0.298,0.364,0.662
Lucas LeBlanc,Sal,40,125,16,25,8,1,0,9,2,4,10,33,0.2,0.284,0.28,0.564
James Kang,Sal,49,116,11,22,4,3,0,6,2,3,13,39,0.19,0.276,0.276,0.552
David Renfroe,Sal,10,33,2,6,1,0,0,5,0,1,3,7,0.182,0.263,0.212,0.475
Bryan Johns,Sal,2,7,1,1,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393
Matthew Marquis,Sal,10,33,2,5,1,0,0,1,1,0,2,14,0.152,0.2,0.182,0.382
Jayson Hernandez,Sal,12,40,2,5,3,0,0,1,0,0,1,10,0.125,0.146,0.2,0.346
