Name,"Lat, Long",Dist,Report Time,Air Temp,Water Temp,Pres,PTDY,Wind Speed,Wind Gust,Wind Dir,Wave Height,Wave Period
Buoy rtyc1,"37.51, -122.21",20.29,080321,21.6,23.2,1014.0,-0.6,27.7,33.5,270,*,*
Buoy 46091,"36.84, -121.9",35.24,080321,20.9,21.8,1014.5,-0.4,14.8,20.5,280,*,*
Buoy aamc1,"37.77, -122.3",36.36,080320,*,12.8,*,*,*,*,*,*,*
Buoy mlsc1,"36.81, -121.79",37.80,080320,21.7,*,1017.0,*,13.0,*,270,*,*
Buoy elxc1,"36.81, -121.74",38.34,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗
∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗
∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗
∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗
∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗
∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗
∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗,∗
