LVL,oppOBP,oppAVG,VORP,AB,GS,#
MLB,0.323,0.256,-5.4,534,20,119.0
MLB,0.321,0.258,4.3,828,33,9.0
MLB,0.314,0.252,-7.3,567,20,122.0
MLB,0.315,0.249,3.1,303,13,156.0
MLB,0.302,0.244,16.4,563,24,94.0
MLB,0.321,0.258,-4.8,546,22,107.0
MLB,0.311,0.253,16.2,775,32,29.0
MLB,0.322,0.257,-8.0,533,24,91.0
MLB,0.313,0.253,31.6,798,32,37.0
MLB,0.324,0.26,-0.7,367,15,149.0
MLB,0.31,0.251,9.3,692,30,61.0
MLB,0.315,0.253,-18.9,432,20,118.0
MLB,0.315,0.252,1.8,283,0,178.0
MLB,0.315,0.255,6.9,445,16,142.0
MLB,0.324,0.261,4.3,341,15,148.0
MLB,0.308,0.247,-0.4,433,20,123.0
MLB,0.304,0.244,35.4,832,33,16.0
MLB,0.309,0.251,-3.1,415,19,127.0
MLB,0.317,0.256,18.3,721,30,56.0
MLB,0.317,0.254,9.5,521,24,96.0
MLB,0.315,0.25,16.7,376,16,143.0
MLB,0.308,0.251,23.1,788,32,39.0
MLB,0.315,0.251,23.2,619,29,71.0
MLB,0.313,0.255,15.0,431,19,128.0
MLB,0.319,0.256,25.0,762,33,11.0
MLB,0.31,0.248,6.7,338,15,147.0
MLB,0.307,0.249,4.7,769,33,13.0
MLB,0.312,0.253,15.5,667,30,58.0
MLB,0.318,0.253,4.2,332,12,159.0
MLB,0.312,0.252,-0.7,318,0,177.0
MLB,0.312,0.251,25.4,822,33,12.0
MLB,0.306,0.247,29.8,732,32,38.0
MLB,0.309,0.25,54.0,840,33,8.0
MLB,0.317,0.256,7.3,484,20,124.0
MLB,0.309,0.246,0.1,292,8,163.0
MLB,0.306,0.248,20.8,762,32,20.0
MLB,0.315,0.256,15.1,336,15,145.0
MLB,0.315,0.25,0.9,370,17,140.0
MLB,0.322,0.258,11.8,452,15,150.0
MLB,0.311,0.248,9.8,476,21,113.0
MLB,0.319,0.256,-2.7,757,32,28.0
MLB,0.306,0.248,8.0,384,18,132.0
MLB,0.31,0.247,18.1,657,30,59.0
MLB,0.318,0.253,4.6,368,17,139.0
MLB,0.32,0.257,15.2,574,26,83.0
MLB,0.312,0.251,8.9,371,17,138.0
MLB,0.309,0.25,8.3,603,30,55.0
MLB,0.322,0.255,-1.9,486,22,106.0
MLB,0.321,0.259,1.3,823,32,30.0
MLB,0.313,0.252,8.4,587,24,92.0
MLB,0.321,0.256,9.3,586,24,97.0
MLB,0.309,0.25,17.7,647,26,84.0
MLB,0.31,0.248,0.2,708,32,26.0
MLB,0.32,0.254,-1.5,545,23,101.0
MLB,0.316,0.255,6.8,357,0,167.0
MLB,0.325,0.262,10.4,527,22,105.0
MLB,0.319,0.258,18.1,564,24,95.0
MLB,0.313,0.255,10.3,577,27,80.0
MLB,0.308,0.248,-4.2,537,23,103.0
MLB,0.32,0.258,26.0,857,34,3.0
MLB,0.321,0.257,2.3,323,14,153.0
MLB,0.316,0.255,15.6,567,27,76.0
MLB,0.32,0.256,21.8,807,33,15.0
MLB,0.321,0.258,12.3,563,23,99.0
MLB,0.315,0.254,43.5,766,32,34.0
MLB,0.317,0.258,14.5,726,29,69.0
MLB,0.307,0.245,8.6,364,14,152.0
MLB,0.311,0.253,-1.7,771,32,21.0
MLB,0.309,0.25,16.2,341,0,171.0
MLB,0.322,0.257,3.5,299,2,164.0
MLB,0.314,0.252,27.5,814,33,14.0
MLB,0.318,0.254,5.1,293,14,151.0
MLB,0.313,0.25,10.4,684,29,67.0
MLB,0.311,0.251,21.8,714,30,64.0
MLB,0.313,0.252,3.3,287,0,181.0
MLB,0.313,0.251,20.7,425,20,120.0
MLB,0.321,0.258,32.5,764,31,50.0
MLB,0.307,0.248,7.9,734,31,42.0
MLB,0.308,0.249,26.2,720,31,48.0
MLB,0.306,0.246,15.4,631,30,53.0
MLB,0.32,0.26,18.0,613,29,65.0
MLB,0.322,0.26,10.0,620,22,109.0
MLB,0.322,0.257,20.1,813,33,6.0
MLB,0.311,0.25,45.3,900,34,2.0
MLB,0.317,0.26,6.6,328,13,155.0
MLB,0.31,0.252,-1.3,443,20,117.0
MLB,0.324,0.26,6.6,544,20,116.0
MLB,0.321,0.258,-11.9,602,22,108.0
MLB,0.31,0.252,30.9,650,28,75.0
MLB,0.308,0.248,32.3,750,33,5.0
MLB,0.318,0.253,21.6,282,0,176.0
MLB,0.321,0.256,9.6,797,32,22.0
MLB,0.306,0.245,23.7,805,32,32.0
MLB,0.325,0.261,-2.5,366,14,154.0
MLB,0.316,0.255,10.2,551,27,79.0
MLB,0.314,0.25,9.0,380,17,137.0
MLB,0.313,0.25,42.7,682,29,70.0
MLB,0.318,0.252,5.1,289,0,174.0
MLB,0.317,0.256,25.4,810,33,10.0
MLB,0.299,0.239,6.3,299,12,157.0
MLB,0.307,0.25,37.2,646,26,86.0
MLB,0.306,0.246,21.7,703,30,63.0
MLB,0.308,0.249,3.8,702,31,47.0
MLB,0.32,0.258,0.0,579,25,90.0
MLB,0.31,0.254,5.1,544,22,110.0
MLB,0.319,0.258,10.0,854,34,1.0
MLB,0.304,0.25,21.2,799,33,17.0
MLB,0.322,0.26,36.9,800,30,57.0
