Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
L Reyes,TC,LF,.254,50,173,25,44,4,1,2,17,24,32,7,2,3,0,3,0.348,.324,.672
J Extrano,EVE,2B,.192,22,73,11,14,3,2,1,8,7,14,2,2,0,1,0,0.286,.329,.614
M Mercedes,BOI,C,.474,5,19,1,9,1,0,0,2,1,1,0,0,0,0,0,0.5,.526,1.026
R Schwartz,VAN,SS,.185,47,146,17,27,6,2,5,13,15,49,2,1,0,0,0,0.27,.356,.626
M Murray,SK,C,.326,63,242,29,79,14,0,6,48,28,37,2,0,0,3,11,0.394,.459,.853
J Guevara,BOI,C,.214,5,14,2,3,0,0,1,2,0,3,0,0,0,0,2,0.214,.429,.643
L Hurtado,VAN,C,.364,3,11,1,4,0,0,0,4,0,0,0,0,0,1,1,0.333,.364,.697
J Agudelo,EVE,RF,.211,51,166,32,35,7,0,7,22,11,43,9,3,1,1,2,0.283,.380,.662
L Gonzalez,EVE,C,.246,36,126,11,31,7,1,1,15,10,21,1,0,2,0,1,0.301,.341,.643
M Yepez,EVE,CF,.332,66,262,37,87,17,2,0,20,14,33,5,2,9,0,5,0.368,.412,.780
J Izturis,SK,2B,.209,22,67,10,14,0,1,0,2,5,14,6,2,1,1,0,0.289,.239,.528
C Romero,BOI,C,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,.000
B Fuenmayor,VAN,3B,.234,61,231,24,54,13,0,6,29,14,56,1,0,0,1,4,0.288,.368,.656
D Garce,EUG,3B,.185,26,81,5,15,2,0,1,5,3,27,0,0,0,0,0,0.233,.247,.479
J Pozo,EUG,C,.167,3,6,0,1,1,0,0,0,0,2,0,0,0,0,0,0.167,.333,.500
J Crousset,TC,OF,.243,32,107,13,26,4,2,3,15,4,32,2,0,2,2,0,0.272,.402,.674
Y Aponte,VAN,RF,.239,30,71,9,17,4,0,0,4,4,24,4,0,0,0,3,0.28,.296,.576
R Salas,VAN,1B,.259,39,139,19,36,10,1,4,14,5,31,1,0,0,0,4,0.304,.432,.736
G Pimentel,SPO,OF,.277,63,220,30,61,3,1,1,15,27,58,7,6,0,1,2,0.373,.314,.686
R Morla,EVE,3B,.263,48,179,24,47,5,2,4,21,18,44,10,5,0,3,4,0.332,.380,.712
J Blash,EVE,RF,.292,57,195,26,57,16,3,11,43,28,65,10,3,0,1,4,0.393,.574,.967
Z Jones,YAK,C,.279,35,136,14,38,9,1,2,14,13,29,7,1,1,0,1,0.347,.404,.751
D Killian,EUG,C,.175,15,40,8,7,1,0,1,1,3,15,0,1,1,0,0,0.25,.275,.525
B Krill,SK,OF,.304,52,207,38,63,16,2,6,43,14,44,4,4,0,3,6,0.35,.488,.837
M Newman,VAN,OF,.228,49,149,17,34,9,0,3,17,18,41,3,5,3,4,2,0.304,.349,.653
K Patterson,VAN,1B,.270,33,115,16,31,6,2,5,21,18,40,1,0,0,2,2,0.372,.487,.859
J Staley,SK,C,.280,43,157,27,44,9,0,8,30,21,38,4,0,0,0,9,0.383,.490,.873
G Weber,YAK,SS,.292,64,250,32,73,17,1,2,29,19,47,6,1,3,1,11,0.346,.392,.738
K Quackenbush,EUG,P,--,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,--,--
V Bieneme,BOI,LF,.000,1,3,1,0,0,0,0,0,2,2,1,0,0,0,0,0.4,.000,.400
H Zabala,YAK,OF,.244,55,197,20,48,11,1,3,19,6,30,1,3,1,1,7,0.275,.355,.631
J Morelli,BOI,LF,.273,9,33,3,9,1,0,1,4,2,6,2,0,0,0,2,0.333,.394,.727
J Minyety,EUG,SS,.209,40,86,11,18,0,1,0,8,10,23,4,2,0,0,1,0.299,.233,.532
Y Castillo,SPO,C,.347,32,118,15,41,8,3,2,19,10,15,3,3,0,0,4,0.408,.517,.925
