3FGA,Reb,TO,GS,FT%,3FGM,3P%
3.2,2.9,1.8,27,.812,1.2,.385
2.1,3.4,1.1,7,.833,1.6,.733
4.5,2.8,2.0,1,.700,1.5,.333
3.3,2.8,1.4,43,.769,1.5,.468
3.3,2.6,1.9,15,.821,1.4,.429
3.5,2.5,1.0,9,.600,1.7,.489
4.6,3.8,0.8,4,.625,2.2,.478
-,-,-,-,-,-,-
3.7,2.9,0.7,6,.750,1.9,.500
1.0,2.3,1.7,2,.833,0.0,.000
3.0,2.2,0.8,8,.667,1.4,.458
2.6,1.4,2.0,3,.455,1.4,.538
4.2,2.4,2.0,1,.692,1.6,.381
3.4,2.5,1.4,19,.659,1.5,.442
2.6,2.2,1.8,8,.846,1.1,.429
4.0,2.0,1.0,6,.800,1.7,.417
2.6,3.2,0.6,8,.652,1.1,.429
4.2,2.4,2.0,1,.692,1.6,.381
4.2,3.2,1.8,5,.625,1.4,.333
5.0,3.8,1.5,3,.500,2.2,.450
3.5,3.5,1.5,2,.500,1.5,.429
3.3,2.9,1.8,27,.812,1.3,.389
5.0,2.0,3.5,2,.000,2.0,.400
-,-,-,-,-,-,-
3.4,2.6,1.4,27,.764,1.5,.457
1.5,2.5,0.5,2,.000,0.5,.333
3.4,2.5,1.2,15,.704,1.7,.492
3.7,2.6,1.7,0,.500,1.7,.462
5.3,4.3,1.3,2,.500,2.3,.438
3.2,4.0,1.2,5,.909,1.0,.312
2.0,2.0,1.7,3,.933,1.0,.500
