Date,Opp,TS%,Tm,Rk,Age
2006-12-18,GSW, ,NJN,24,28-016
2007-01-24,GSW,.387,NJN,40,28-053
2007-03-03,BOS,.750,NJN,57,28-091
2006-11-18,POR,.129,NJN,9,27-351
2007-03-24,CHA,.667,NJN,68,28-112
2006-12-02,PHI,.250,NJN,16,28-000
2007-02-13,SAS,.333,NJN,51,28-073
2006-12-29,MIA,.500,NJN,30,28-027
2006-11-15,MIL,.532,NJN,7,27-348
2007-02-23,SAC,.000,NJN,54,28-083
2007-02-14,TOR,.667,NJN,52,28-074
2007-03-18,LAC,.852,NJN,65,28-106
2007-04-12,CLE,.000,NJN,76,28-131
2006-12-26,DET,.658,NJN,28,28-024
2007-01-19,NYK,.000,NJN,37,28-048
2007-02-05,PHI,.399,NJN,47,28-065
2007-03-23,ORL,.266,NJN,67,28-111
2006-12-16,DET,.000,NJN,23,28-014
2007-01-11,CHI,.000,NJN,33,28-040
2006-11-22,POR,.450,NJN,11,27-355
2007-02-25,NYK,.000,NJN,55,28-085
2006-11-26,LAL,.694,NJN,13,27-359
2007-01-20,ORL,.000,NJN,38,28-049
2007-03-10,SAS,.500,NJN,61,28-098
2006-12-05,DAL,.665,NJN,17,28-003
2006-12-07,PHO,.184,NJN,18,28-005
2006-11-08,UTA,.000,NJN,3,27-341
2006-12-22,LAL,.568,NJN,26,28-020
2006-11-01,TOR,1.042,NJN,1,27-334
2007-03-20,DEN,.798,NJN,66,28-108
2007-04-07,WAS, ,NJN,74,28-126
2007-04-16,NYK,.000,NJN,79,28-135
2006-12-30,MIN,.500,NJN,31,28-028
2007-02-09,BOS,1.136,NJN,49,28-069
2006-11-13,SEA,.174,NJN,6,27-346
