DRB%,G,Date
30.8,66,1988-04-05
6.1,36,1988-01-16
0.0,4,1987-11-12
8.6,33,1988-01-10
30.0,19,1987-12-12
10.3,34,1988-01-13
13.7,11,1987-11-27
18.6,10,1987-11-24
10.0,43,1988-02-01
29.6,28,1987-12-30
28.2,57,1988-03-15
31.9,39,1988-01-24
0.0,21,1987-12-15
0.0,20,1987-12-14
53.3,62,1988-03-26
0.0,12,1987-11-28
6.5,13,1987-12-01
9.4,26,1987-12-26
0.0,18,1987-12-10
14.8,32,1988-01-09
30.0,53,1988-03-04
16.4,73,1988-04-22
25.0,35,1988-01-15
0.0,15,1987-12-04
26.7,72,1988-04-19
0.0,24,1987-12-20
26.7,31,1988-01-06
47.1,38,1988-01-22
0.0,67,1988-04-08
0.0,55,1988-03-09
29.4,54,1988-03-08
26.1,16,1987-12-05
