SB,RBI,CS,Team,OBP,R,HR,OPS,POS
2,3,0,NYM,0.259,13,1,0.504,2B
14,104,2,PHI,0.38,113,33,0.915,2B
6,87,0,CHC,0.376,103,21,0.857,2B
8,24,1,PHI,0.292,29,2,0.598,2B
56,68,15,NYM,0.358,113,16,0.833,SS
1,7,0,WSH,0.282,10,0,0.589,2B
7,10,2,STL,0.307,30,0,0.596,SS
1,46,6,COL,0.332,48,8,0.732,SS
4,2,2,SF,0.258,4,0,0.414,SS
0,3,1,SF,0.244,7,0,0.511,SS
3,33,1,ATL,0.377,36,2,0.838,2B
0,2,0,SD,0.289,2,0,0.52,SS
5,35,1,SD,0.26,30,10,0.599,SS
0,1,0,PHI,0.182,1,0,0.382,2B
11,69,6,ATL,0.349,86,12,0.795,2B
1,3,1,PIT,0.278,6,0,0.546,2B
6,55,5,WSH,0.345,77,9,0.786,SS
1,3,1,LAD,0.242,6,1,0.617,2B
7,66,7,HOU,0.314,92,13,0.729,SS
0,15,0,COL,0.288,28,2,0.635,2B
5,23,4,SF,0.283,24,0,0.55,SS
2,74,1,MIL,0.343,78,24,0.821,SS
0,38,0,HOU,0.35,27,4,0.733,2B
8,16,3,LAD,0.439,34,5,1.012,SS
1,28,1,LAD,0.326,24,8,0.792,SS
0,9,1,WSH,0.407,9,1,0.938,SS
47,59,3,PHI,0.349,76,11,0.786,SS
22,38,13,CHC,0.387,85,1,0.745,2B
0,0,0,NYM,0.0,0,0,0.0,2B
1,12,0,HOU,0.297,11,2,0.701,2B
1,3,0,CIN,0.222,4,0,0.5,2B
0,52,1,PIT,0.298,75,9,0.669,2B
5,92,5,FLA,0.36,97,32,0.874,2B
0,17,0,WSH,0.407,11,0,0.789,SS
0,3,0,SD,0.292,6,1,0.573,2B
1,2,0,SD,0.282,4,0,0.488,2B
23,78,10,CIN,0.312,80,21,0.754,2B
0,16,0,LAD,0.304,26,1,0.614,SS
0,6,0,CIN,0.27,5,1,0.52,SS
24,24,6,STL,0.319,50,1,0.628,SS
8,32,2,FLA,0.312,41,3,0.679,2B
0,0,0,SF,0.0,0,0,0.0,2B
0,3,0,NYM,0.333,0,0,0.771,2B
0,0,0,COL,0.0,0,0,0.0,2B
2,40,0,CHC,0.395,42,9,0.909,2B
0,0,0,HOU,0.143,0,0,0.286,SS
