Opp,MP,STL%,ORtg,Age,GmSc
TOR,8:00,0.0,204,31-277,4.8
MIN,1:00,0.0, ,31-323,0.0
WAS,8:00,0.0,90,31-357,1.0
LAC,7:00,0.0,43,31-281,-0.3
CLE,8:00,6.5,52,32-000,0.6
LAL,19:00,2.7,68,32-013,2.9
LAL,21:00,0.0,25,31-275,-2.5
GSW,3:00,0.0,0,31-322,-1.4
CHH,15:00,0.0,39,31-225,-0.4
LAL,3:00,0.0,202,31-316,2.7
DEN,2:00,0.0,0,31-340,-0.7
UTA,12:00,0.0,124,31-346,3.5
MIN,29:00,1.8,106,31-301,9.1
CHI,7:00,0.0,83,31-258,1.7
DEN,4:00,0.0,120,31-343,1.2
IND,9:00,6.0,156,32-006,5.3
SAS,3:00,0.0,149,31-338,3.4
SAC,2:00,0.0,200,31-280,1.7
TOR,6:00,0.0,94,31-257,1.4
NYK,11:00,5.0,53,31-238,0.0
HOU,5:00,10.5,90,31-348,2.6
BOS,18:00,0.0,78,31-304,2.6
