Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Christopher McGuiness,Gre,19,71,9,23,6,1,5,16,1,0,9,15,0.324,0.407,0.648,1.055
Ryan Kalish,Por,23,87,20,30,7,1,4,18,8,0,11,14,0.345,0.43,0.586,1.016
Nate Spears,Por,28,99,19,29,7,0,3,11,5,0,21,13,0.293,0.438,0.455,0.892
Daniel Butler,Gre,22,79,9,27,6,0,2,8,0,0,7,12,0.342,0.398,0.494,0.891
Mitch Dening,Sal,22,74,12,26,3,1,0,8,1,1,12,17,0.351,0.442,0.419,0.861
Dusty Brown,Paw,21,73,12,19,7,0,4,15,0,0,8,18,0.26,0.337,0.521,0.858
Alex Hassan,Sal,23,73,14,21,5,2,1,13,1,1,15,17,0.288,0.404,0.452,0.857
Anthony Rizzo,PorSal,27,103,15,28,7,0,6,25,0,0,10,26,0.272,0.333,0.515,0.848
Daniel Nava,Paw,23,86,13,23,6,0,4,17,0,1,7,18,0.267,0.333,0.477,0.81
Ray Chang,Por,24,92,9,28,8,0,1,8,0,1,10,14,0.304,0.369,0.424,0.793
Ryan Lavarnway,Sal,28,100,20,25,3,0,5,18,1,0,17,20,0.25,0.358,0.43,0.788
Luis Exposito,Por,28,104,12,30,12,0,1,20,0,0,10,18,0.288,0.353,0.433,0.786
Jeremy Hazelbaker,Gre,24,94,13,24,6,1,3,12,12,3,11,26,0.255,0.34,0.436,0.776
Will Middlebrooks,Sal,27,103,14,29,7,1,1,7,2,0,15,31,0.282,0.375,0.398,0.773
Bubba Bell,Paw,25,80,7,25,3,0,1,12,2,1,10,15,0.313,0.385,0.388,0.772
Che-Hsuan Lin,Por,27,100,18,30,3,0,1,7,2,6,15,15,0.3,0.397,0.36,0.757
Lars Anderson,Paw,25,89,13,21,8,0,3,12,0,0,9,29,0.236,0.327,0.427,0.754
Reymond Fuentes,Gre,26,106,14,30,3,3,2,14,9,0,3,30,0.283,0.315,0.425,0.74
Tim Federowicz,Sal,27,104,13,28,12,0,0,13,0,1,13,22,0.269,0.35,0.385,0.735
Oscar Tejeda,Sal,27,118,10,32,9,1,3,12,2,3,4,30,0.271,0.288,0.441,0.729
Angel Sanchez,Paw,22,80,10,23,4,1,0,7,0,1,10,14,0.288,0.363,0.363,0.725
Jorge Jimenez,Paw,25,88,12,27,4,0,0,8,0,1,8,8,0.307,0.367,0.352,0.72
Ronald Bermudez,Gre,29,118,14,30,10,1,1,15,1,2,6,27,0.254,0.29,0.381,0.672
Jose Iglesias,Por,20,78,6,23,2,2,0,8,1,0,0,11,0.295,0.3,0.372,0.672
Aaron Bates,Paw,28,101,9,23,3,1,2,7,0,0,13,30,0.228,0.316,0.337,0.652
