Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
A Ciriaco,JAX,SS,0.231,84,247,33,57,7,2,5,26,21,43,7,2,0,3,3,0.296,0.336,0.632
O Chavez,HVL,SS,0.226,17,62,6,14,2,0,0,7,4,16,0,1,2,1,2,0.269,0.258,0.527
L Nunez,MIS,SS,0.2,37,120,10,24,3,1,1,15,2,12,5,1,1,1,4,0.218,0.267,0.484
H Gomez,HVL,SS,0.196,113,368,23,72,12,2,2,25,18,77,6,9,16,1,7,0.238,0.255,0.494
J Bianchi,HVL,SS,0.267,5,15,0,4,0,0,0,1,1,2,0,1,0,0,1,0.313,0.267,0.579
C Gutierrez,JAX,SS,0.212,85,236,19,50,9,2,3,18,28,41,2,2,3,1,5,0.302,0.305,0.607
M Rojas,CHA,SS,0.233,130,420,45,98,12,2,5,32,40,49,10,4,13,2,13,0.303,0.307,0.61
R Estrada,MTG,SS,0.247,77,215,21,53,12,1,3,24,22,29,2,1,4,1,0,0.315,0.353,0.669
S O'Malley,MTG,SS,0.262,91,321,53,84,12,6,3,32,32,60,24,3,11,3,3,0.337,0.364,0.702
D Lohman,PNS,SS,0.236,132,484,45,114,22,0,8,53,38,84,16,10,11,3,6,0.304,0.331,0.635
J Pedroza,MIS,SS,0.281,117,370,48,104,14,2,4,48,38,66,6,3,3,4,11,0.348,0.362,0.71
E Soto,TNS,SS,0.19,45,121,12,23,2,0,2,6,13,26,1,2,2,0,4,0.269,0.256,0.525
G Noriega,JXN,SS,0.256,104,371,35,95,15,4,2,30,14,72,7,2,13,3,12,0.283,0.334,0.617
B Miller,JXN,SS,0.294,42,153,27,45,7,1,6,25,20,30,4,3,1,0,1,0.379,0.471,0.85
M Semien,BIR,SS,0.29,105,393,90,114,21,5,15,49,84,66,20,5,2,0,7,0.42,0.483,0.903
B Zapenas,TNS,SS,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
A Alcantara,TNS,SS,0.271,133,494,69,134,36,4,15,69,62,125,31,6,9,4,4,0.352,0.451,0.804
D Black,JAX,SS,0.2,98,315,45,63,5,4,2,21,35,74,8,3,7,0,11,0.284,0.26,0.544
C Grider,CHA,SS,0.0,3,7,0,0,0,0,0,0,1,4,0,1,1,0,1,0.125,0.0,0.125
T Saladino,BIR,SS,0.229,118,424,49,97,17,2,5,55,51,86,28,8,6,6,15,0.316,0.314,0.63
H Valor,PNS,SS,0.0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.0,0.5
N Shaw,HVL,SS,0.253,124,450,50,114,10,2,2,27,63,71,8,4,9,6,3,0.344,0.298,0.641
A McClure,JAX,SS,0.0,7,11,0,0,0,0,0,0,1,6,0,0,0,0,0,0.083,0.0,0.083
J Baez,TNS,SS,0.294,54,218,39,64,15,0,20,54,19,69,8,2,0,3,3,0.346,0.638,0.983
N Ahmed,MOB,SS,0.236,136,487,58,115,21,5,4,46,33,72,26,7,7,6,10,0.288,0.324,0.613
D Herbek,BIR,SS,0.253,29,83,9,21,4,0,0,7,13,17,2,1,0,0,0,0.361,0.301,0.662
C Taylor,JXN,SS,0.293,67,256,46,75,12,4,1,16,40,55,18,3,1,1,4,0.391,0.383,0.774
