Games,Age,City,Sport,Team,NOC,Phase,Unit,Rank,Date,Result,SW,IP,SO
1964 Summer,21,Tokyo,Volleyball,Poland,POL,Round-Robin,Match #4,1,1964-10-12,"POL 3, USA 0",3,4,5
1964 Summer,21,Tokyo,Volleyball,Poland,POL,Round-Robin,Match #7,1,1964-10-13,"POL 3, KOR 0",3,6,3
1964 Summer,21,Tokyo,Volleyball,Poland,POL,Round-Robin,Match #9,2,1964-10-15,"URS 3, POL 0",0,2,6
1964 Summer,21,Tokyo,Volleyball,Poland,POL,Round-Robin,Match #11,2,1964-10-18,"JPN 3, POL 1",1,2,11
1964 Summer,21,Tokyo,Volleyball,Poland,POL,Round-Robin,Match #14,1,1964-10-22,"POL 3, ROU 0",3,10,5
1968 Summer,25,Ciudad de México,Volleyball,Poland,POL,Round-Robin,Match #8,2,1968-10-14,"URS 3, POL 0",0,"0,0","0,0"
1968 Summer,25,Ciudad de México,Volleyball,Poland,POL,Round-Robin,Match #11,1,1968-10-16,"POL 3, USA 0",3,"4,0","4,0"
1968 Summer,25,Ciudad de México,Volleyball,Poland,POL,Round-Robin,Match #16,1,1968-10-19,"POL 3, MEX 2",3,"4,0","13,5"
1968 Summer,25,Ciudad de México,Volleyball,Poland,POL,Round-Robin,Match #17,2,1968-10-20,"JPN 3, POL 0",0,"4,5","8,0"
1968 Summer,25,Ciudad de México,Volleyball,Poland,POL,Round-Robin,Match #23,1,1968-10-24,"POL 3, TCH 0",3,"3,5","10,0"
1968 Summer,25,Ciudad de México,Volleyball,Poland,POL,Round-Robin,Match #25,1,1968-10-25,"POL 3, PER 1",3,"7,0","10,0"
