2B,CS,GIDP,Player,OBP,3B,BB,RBI
9,2,1,C Custodio,0.433,1,22,19
5,1,0,L Martone,0.385,0,8,2
5,5,1,W Schill,0.326,2,16,16
1,6,1,A Mejia,0.291,0,14,11
0,0,0,T Muecklisch,0.167,0,1,0
6,3,1,J Fernandez,0.318,3,14,15
5,1,0,L Robbins,0.311,2,14,16
2,0,0,C Leyva,0.412,1,2,7
0,1,6,D Williams,0.216,0,8,7
0,0,0,R Dent,0.182,0,1,1
4,3,2,J Morillo,0.294,3,17,12
0,0,1,A Ponce,0.457,0,6,3
9,1,1,D Adams,0.469,0,5,11
7,10,2,J Vinicio,0.337,5,7,18
0,0,0,C Izturis,0.0,0,0,0
0,1,1,C Hu,0.298,0,8,1
8,1,1,J Carvajal,0.329,3,16,12
1,0,0,P Mooney,0.385,1,2,1
0,0,1,R Goins,0.0,0,0,0
1,0,1,C Burke,0.263,0,10,5
3,0,2,J Myers,0.358,1,12,11
1,3,1,A Tavarez,0.301,2,8,8
13,6,1,A Hanson,0.352,7,21,35
0,0,1,M Abraham,0.25,0,3,4
0,0,0,R Perez,0.111,0,1,1
3,0,1,D Tabb,0.271,0,1,7
1,2,3,M Ciriaco,0.239,0,6,12
0,1,0,A Burns,0.65,0,2,7
2,0,0,N Natoli,0.462,0,6,0
5,0,1,C Peters,0.321,3,14,17
3,3,3,S Moranda,0.36,0,15,6
1,3,0,B Martin,0.386,0,7,3
9,2,4,S Tuivailala,0.331,0,12,15
2,1,1,J Rodriguez,0.256,0,4,10
7,3,2,G Reyes,0.365,0,16,14
3,2,1,D Thon,0.369,0,23,15
0,0,0,M Betts,0.5,0,0,2
6,1,4,C De Los Santos,0.214,3,3,11
9,2,2,L Cortez,0.339,1,7,6
1,0,0,R Soares,0.167,0,1,2
0,7,2,P Rodriguez,0.24,1,6,4
5,0,4,M Gedman,0.359,1,12,15
4,1,0,Y Barrios,0.382,3,11,11
5,1,1,B Valera,0.328,2,10,13
4,0,1,J Gamboa,0.435,0,9,3
8,5,4,J Pena,0.364,3,26,21
8,4,4,J Polanco,0.319,3,15,16
5,1,1,J Pimentel,0.227,2,5,10
0,0,0,N Rios,0.6,0,0,0
3,0,0,J Atkinson,0.298,1,2,6
6,8,1,Y Hernandez,0.369,1,15,17
8,4,2,S Wickens,0.37,1,17,10
1,0,1,T Karlen,0.338,2,11,9
1,2,1,M Ayarza,0.217,2,5,3
3,2,2,T Winegardner,0.241,1,11,11
