MP,GS,ORtg,GmSc,Age,Tm,Date,USG%
3:00,0,44,0.6,25-288,PHI,2001-12-14,14.2
18:00,0,127,7.6,26-033,PHI,2002-04-03,19.4
20:00,0,102,5.6,25-278,PHI,2001-12-04,24.3
4:00,0,67,3.0,26-026,PHI,2002-03-27,45.6
43:00,1,130,20.9,25-282,PHI,2001-12-08,24.3
1:00,0,0,-0.7,25-310,PHI,2002-01-05,47.1
18:00,0,50,-1.4,25-243,PHI,2001-10-30,18.6
3:00,0,300,2.3,26-018,PHI,2002-03-19,16.7
5:00,0,0,-1.4,25-267,PHI,2001-11-23,27.4
1:00,0,200,1.7,26-005,PHI,2002-03-06,50.1
1:00,0, ,0.0,26-021,PHI,2002-03-22,0.0
10:00,0,90,0.8,26-044,PHI,2002-04-14,28.7
11:00,0,147,9.0,25-353,PHI,2002-02-17,28.5
1:00,0, ,0.0,25-340,PHI,2002-02-04,0.0
1:00,0,0,-1.7,25-295,PHI,2001-12-21,91.4
1:00,0, ,0.0,25-265,PHI,2001-11-21,0.0
10:00,0,73,0.3,26-039,PHI,2002-04-09,24.7
22:00,0,80,2.0,25-285,PHI,2001-12-11,21.2
2:00,0,144,3.6,25-326,PHI,2002-01-21,88.8
3:00,0,153,2.6,25-316,PHI,2002-01-11,30.4
1:00,0, ,0.0,25-332,PHI,2002-01-27,0.0
6:00,0,0,-1.1,25-261,PHI,2001-11-17,7.2
19:00,0,118,3.4,25-281,PHI,2001-12-07,15.3
4:00,0,50,0.3,26-023,PHI,2002-03-24,12.6
4:00,0, ,0.0,25-361,PHI,2002-02-25,0.0
