SO,SH,HR,CS,SLG,AVG,SF,AB
2,0,2,0,1.0,0.333,1,9
18,1,0,0,0.174,0.174,0,69
5,0,0,0,0.171,0.143,0,35
21,1,0,0,0.352,0.296,2,108
34,2,8,1,0.462,0.291,2,247
88,3,12,1,0.359,0.203,2,354
111,4,7,9,0.35,0.254,7,489
13,2,0,1,0.363,0.31,0,113
0,0,0,0,0.0,0.0,0,1
91,9,4,6,0.311,0.225,5,405
5,0,2,0,0.478,0.217,0,23
63,6,1,4,0.327,0.241,1,294
16,1,0,0,0.236,0.236,2,72
52,0,2,2,0.404,0.296,2,240
44,3,5,5,0.395,0.289,4,342
71,0,14,2,0.482,0.308,0,386
2,0,0,0,0.5,0.417,0,12
4,0,0,0,0.353,0.353,0,17
6,0,2,0,0.309,0.235,0,81
7,0,1,0,0.409,0.273,1,22
22,4,0,0,0.348,0.316,3,158
19,2,5,1,0.505,0.28,1,93
2,0,0,0,0.667,0.333,0,6
13,0,0,1,0.264,0.226,0,53
41,0,6,0,0.547,0.328,2,137
113,1,8,1,0.354,0.25,7,460
143,0,17,0,0.427,0.253,2,443
0,0,0,0,0.75,0.5,0,4
1,0,0,0,0.286,0.214,0,14
2,0,0,0,0.375,0.375,0,8
56,1,4,0,0.306,0.185,1,173
1,0,0,0,0.364,0.273,0,11
66,1,5,0,0.343,0.245,4,318
39,2,3,3,0.333,0.246,2,195
26,3,1,2,0.38,0.255,1,137
13,0,0,0,0.352,0.295,1,88
15,3,1,3,0.364,0.263,1,118
1,0,0,1,0.5,0.5,0,2
65,2,9,4,0.388,0.262,4,451
37,0,3,2,0.394,0.276,3,203
29,5,7,2,0.453,0.267,1,161
60,0,8,0,0.413,0.235,2,196
57,1,6,0,0.421,0.262,4,195
84,4,3,7,0.354,0.255,0,322
138,0,23,3,0.428,0.21,1,442
98,2,9,11,0.387,0.253,0,442
67,1,4,4,0.412,0.284,2,289
11,0,0,3,0.246,0.193,0,57
18,1,0,2,0.302,0.189,0,53
7,0,0,0,0.292,0.292,0,24
45,4,2,6,0.312,0.24,2,250
60,3,7,0,0.387,0.253,5,367
4,0,1,0,0.45,0.2,1,20
70,5,6,8,0.386,0.281,4,409
55,2,4,0,0.34,0.218,2,238
