ORB%,DRB%,G,GmSc,ORtg,USG%,Age
15.9,27.4,19,1.3,207,0.0,34-004
11.1,19.6,12,-1.7,61,16.8,33-337
4.7,17.0,30,3.3,99,11.8,34-030
0.0,0.0,20,-1.8,0,49.4,34-006
8.5,11.0,15,0.9,88,9.1,33-358
0.0,16.7,36,2.8,87,13.8,34-067
9.9,7.5,4,0.3,60,10.8,33-304
5.9,16.8,31,-0.5,40,12.4,34-031
18.2,32.4,34,5.2,145,14.4,34-056
0.0,14.0,38,3.4,109,7.5,34-071
39.5,15.4,9,3.4,83,16.6,33-333
3.4,16.2,47,2.2,115,5.0,34-095
17.8,13.1,25,6.1,115,22.0,34-020
13.7,14.7,41,6.1,128,15.8,34-078
7.6,10.7,40,3.7,94,2.6,34-077
4.7,9.1,22,1.1,48,1.9,34-014
