GIDP,SF,SH,BB,POS,SO,SB,RBI
4,1,1,14,LF,15,2,15
7,1,14,16,RF,37,5,29
11,5,1,25,RF,52,1,72
10,3,9,22,RF,78,20,65
0,0,1,0,OF,1,0,0
8,2,4,14,OF,17,4,14
2,1,5,7,OF,34,0,18
9,6,4,24,RF,42,2,48
1,0,8,12,LF,13,5,9
0,0,0,8,OF,13,2,3
8,5,5,39,LF,36,2,63
2,0,0,0,RF,2,0,1
7,0,0,37,OF,38,12,42
7,2,1,22,OF,22,1,30
4,4,0,57,CF,48,16,73
3,3,3,9,OF,17,0,18
6,0,4,36,OF,27,1,14
1,0,0,3,OF,6,1,5
12,5,6,12,OF,32,7,41
16,5,2,31,RF,29,8,77
1,0,0,0,OF,3,0,2
3,1,0,11,OF,21,0,14
15,5,9,34,OF,34,8,58
0,0,1,9,LF,15,2,11
4,2,2,9,LF,15,0,13
6,1,3,8,OF,8,0,9
11,3,2,42,CF,49,7,84
2,1,16,13,OF,27,2,19
15,5,2,25,CF,39,2,66
4,2,2,17,LF,19,3,19
5,1,6,9,LF,33,13,33
1,0,0,4,OF,14,0,7
1,0,1,4,OF,12,4,8
0,0,0,2,OF,1,0,1
8,3,10,56,CF,42,10,55
5,5,9,31,OF,95,5,50
3,1,0,3,LF,12,1,1
0,0,0,0,OF,2,0,0
10,3,6,15,OF,33,4,38
8,3,2,40,OF,67,2,65
4,0,3,15,OF,25,2,13
