Year,Team,League,GP,G,A,Pts,+/-,PIM,PPG,SHG,GWG,TOI,S,PtsPG
2014-15,Chicago,AHL,3,0,0,0,-2,2,0,0,0,-,3,0.0
 ,Kalamazoo,ECHL,62,3,12,15,2,34,0,0,1,-,75,0.24
2013-14,Kalamazoo,ECHL,32,4,5,9,14,10,1,0,1,-,43,0.28
 ,Toledo,ECHL,23,2,7,9,-10,10,0,0,0,-,34,0.39
 ,Total Tol/Kal,ECHL,55,6,12,18,4,20,1,0,1,-,77,0.33
2012-13,Reading,ECHL,22,0,4,4,1,16,0,0,-,-,33,0.18
 ,San Francisco,ECHL,25,0,2,2,-14,22,0,0,-,-,28,0.08
 ,Total SF/Rea,ECHL,47,0,6,6,-13,38,0,0,-,-,61,0.13
2011-12,Charlotte,AHL,20,0,4,4,-10,6,0,0,0,-,29,0.2
 ,Albany,AHL,14,2,2,4,-1,0,0,0,1,-,14,0.29
 ,Total Alb/Cha,AHL,34,2,6,8,-11,6,0,0,1,-,43,0.24
 ,Florida,ECHL,-,-,-,-,-,-,-,-,-,-,-,0.0
 ,Kalamazoo,ECHL,18,2,5,7,10,22,1,0,0,-,33,0.39
 ,Total Kal/Fla,ECHL,18,2,5,7,10,22,1,0,0,-,33,0.39
2010-11,Albany,AHL,11,1,3,4,-6,2,1,0,-,-,18,0.36
 ,Alaska,CCHA,37,4,20,24,0,60,3,0,0,-,109,0.65
2009-10,Alaska,CCHA,39,6,18,24,1,30,3,0,0,-,85,0.62
2008-09,Alaska,CCHA,39,3,7,10,6,42,1,0,1,-,67,0.26
2007-08,Omaha,USHL,59,7,11,18,23,98,2,1,3,-,89,0.31
2006-07,Sioux City,USHL,58,4,19,23,16,86,3,0,0,-,99,0.4
AHL,Total,AHL,48,3,9,12,-19,10,1,0,-,-,64,0.25
ECHL,Total,ECHL,182,11,35,46,3,114,2,0,-,-,246,0.25
CCHA,Total,CCHA,115,13,45,58,7,132,7,0,1,-,261,0.5
USHL,Total,USHL,117,11,30,41,39,184,5,1,3,-,188,0.35
