h,hbp,gdp,e,3b,po,sh,Date,avg,ab
6,1,0,2,0,18,1,"Apr 18, 2006",0.285,27
10,1,0,0,0,21,3,"Apr 01, 2006",0.28,29
13,1,0,2,0,15,1,"Mar 28, 2006",0.278,26
6,0,0,1,0,21,1,"Mar 26, 2006",0.266,23
7,0,0,0,0,21,2,"Mar 09, 2006",0.259,27
8,0,0,1,0,21,1,"Apr 09, 2006",0.281,24
3,0,0,1,0,21,4,"Feb 18, 2006",0.212,18
11,1,0,3,0,15,0,"Apr 11, 2006",0.288,25
4,0,1,2,0,18,0,"Mar 10, 2006",0.244,26
10,0,0,0,0,21,2,"Mar 15, 2006",0.234,25
12,0,2,0,0,18,1,"Apr 11, 2006",0.285,27
8,2,0,0,0,21,0,"Apr 02, 2006",0.282,29
13,0,0,2,1,23,2,"Mar 15, 2006",0.243,32
5,0,1,0,1,27,2,"Mar 11, 2006",0.235,31
9,0,0,0,1,21,3,"Feb 17, 2006",0.273,27
11,1,0,0,0,15,0,"Apr 08, 2006",0.279,25
13,1,0,0,0,21,1,"Apr 14, 2006",0.289,28
5,0,0,0,0,18,2,"Feb 11, 2006",0.2,25
5,1,0,2,0,18,0,"May 19, 2006",0.285,26
11,0,0,0,0,15,0,"May 06, 2006",0.29,28
10,0,0,0,0,18,3,"Mar 23, 2006",0.269,26
