2B,SO,R,H,SH
11,37,19,43,2
10,82,29,39,4
22,94,66,160,11
4,35,11,26,0
7,31,19,16,3
17,79,43,82,0
4,16,3,7,1
1,18,4,12,0
1,2,2,4,0
31,92,74,155,0
0,1,0,3,0
4,29,15,34,3
3,17,7,10,1
1,8,2,3,0
5,33,7,21,0
10,18,16,24,0
8,60,14,41,0
0,15,2,4,1
0,4,0,0,0
0,6,12,19,0
0,1,0,0,0
25,98,79,139,3
5,21,10,18,0
11,61,20,45,0
12,28,22,57,5
12,54,25,56,2
16,56,26,54,1
19,28,35,64,0
1,0,0,1,0
0,5,3,5,0
0,1,1,2,0
5,53,11,41,5
15,62,40,89,2
12,54,18,47,1
13,76,31,73,2
12,51,40,68,1
1,15,11,19,1
6,63,20,28,1
21,66,22,65,0
19,77,54,127,6
14,52,36,71,0
2,16,6,11,0
0,5,2,3,0
8,20,21,45,0
9,28,24,40,4
9,78,40,70,0
2,26,6,11,1
0,2,2,3,0
8,34,13,35,0
19,91,35,91,9
20,48,42,76,2
24,119,62,138,0
2,2,3,2,0
6,21,12,32,1
0,4,3,6,0
27,97,86,112,6
4,37,11,20,0
14,129,57,99,7
0,4,1,6,0
18,161,72,109,5
4,31,11,27,0
23,48,42,120,4
2,8,3,7,1
21,57,51,104,9
5,27,13,19,4
1,6,1,3,0
9,48,23,71,2
2,21,12,24,1
27,61,73,125,1
17,105,61,112,4
33,108,70,96,0
1,7,10,24,1
6,39,30,48,2
13,27,14,35,0
2,7,5,10,1
11,53,36,63,1
3,22,5,8,2
25,113,51,92,0
0,1,0,0,0
27,130,71,130,1
16,134,50,94,1
8,36,19,53,2
3,16,13,20,2
6,74,19,50,0
14,56,31,56,2
23,71,59,119,0
2,4,1,6,0
0,7,5,14,1
6,25,10,25,0
6,13,12,35,2
4,30,10,25,0
6,36,18,35,0
8,17,13,33,2
20,31,44,95,0
