Season,Team,GP,G,A,P,+/-,PIM,PP,SH,GW,S,S%
1998-1999,Elliot Lake Vikings-NOJHA,40,21,12,33, ,28, , , , , 
1999-2000,North Bay Centennials-OHL,56,12,8,20, ,33, , , , , 
2000-2001,North Bay Centennials-OHL,66,22,32,54, ,64, , , , , 
2001-2002,North Bay Centennials-OHL,67,15,43,58,-19.0,112,5.0,2.0,2.0, , 
2002-2003,Saginaw Spirit-OHL,37,19,19,38,-6.0,68,8.0,0.0, , , 
2002-2003,Plymouth Whalers-OHL,27,11,22,33,22.0,56,0.0,0.0, , , 
2003-2004,Rochester Americans-AHL,58,6,16,22,0.0,77,2.0,0.0,2.0, , 
2004-2005,Rochester Americans-AHL,73,12,17,29,10.0,185,0.0,0.0,1.0, , 
2005-2006,Sabres,2,0,1,1,-1.0,7,0.0,0.0,0.0,1.0,0.0
2005-2006,Rochester Americans-AHL,77,23,27,50,-1.0,134,11.0,0.0,2.0, , 
2006-2007,Penguins,39,3,2,5,1.0,69,0.0,0.0,1.0,40.0,7.5
2006-2007,Wilkes-Barre Penguins-AHL,3,0,1,1,0.0,2,0.0,0.0,0.0, , 
2007-2008,Thrashers,73,5,13,18,-4.0,92,0.0,0.0,1.0,72.0,6.9
2008-2009,Thrashers,82,7,8,15,-10.0,104,0.0,0.0,1.0,85.0,8.2
2009-2010,Thrashers,76,4,9,13,6.0,89,0.0,3.0,0.0,63.0,6.4
2010-2011,Thrashers,82,9,10,19,-4.0,77,2.0,0.0,0.0,114.0,7.9
2011-2012,Jets,72,4,7,11,-6.0,83,0.0,0.0,0.0,69.0,5.8
2012-2013,Jets,42,2,2,4,-5.0,70,0.0,0.0,0.0,13.0,15.4
2013-2014,Jets,55,2,9,11,0.0,65,0.0,0.0,1.0,26.0,7.7
2014-2015,Jets,81,7,7,14,-5.0,76,0.0,0.0,2.0,67.0,10.4
 ,NHL Totals,604,43,68,111,-28.0,732,2.0,3.0,6.0,550.0,7.8
