Row,Organism,Tax Group,NCBI Project ID,Replicons,Total Size (bp),% AT,% Global Direct Repeats,% Global Inverted Repeats,% Local Direct Repeats,% Local Inverted Repeats,% Local Mirror Repeats,% Local Everted Repeats,% Simple Repeats
 , , , , , , , , , , , , , 
1.0,Thermotoga petrophila RKU-1,BThermt TT,17089.0,1.0,"1,823,511",53.9,1.8,1.2,5.0,2.9,3.3,1.9,0.3
2.0,Thermotoga sp. RQ2,BThermt TT,19543.0,1.0,"1,877,693",53.8,1.9,1.5,5.1,2.9,3.4,1.9,0.3
3.0,Thermotoga maritima MSB8,BThermt TT,111.0,1.0,"1,860,725",53.8,1.9,1.1,4.9,2.9,3.4,2.0,0.3
4.0,Thermotoga neapolitana DSM 4359,BThermt TT,21023.0,1.0,"1,884,562",53.1,1.3,0.9,5.1,2.9,3.3,2.0,0.4
5.0,Thermotoga naphthophila RKU-10,BThermt TT,33663.0,1.0,"1,809,823",53.9,1.6,1.1,4.9,2.9,3.4,2.0,0.0
6.0,Kosmotoga olearia TBF 19.5.1,BThermt TT,29419.0,1.0,"2,302,126",58.5,0.0,0.0,5.0,3.1,3.2,2.1,0.0
7.0,Thermotoga lettingae TMO,BThermt TT,15644.0,1.0,"2,135,342",61.3,0.6,0.2,4.9,3.3,3.5,2.3,0.3
8.0,Fervidobacterium nodosum Rt17-B1,BThermt TT,16719.0,1.0,"1,948,941",65.0,4.1,3.2,7.8,4.8,6.1,3.7,0.4
9.0,Petrotoga mobilis SJ95,BThermt TT,17679.0,1.0,"2,169,548",65.9,6.3,3.4,8.4,5.3,7.1,4.3,0.5
10.0,Thermosipho melanesiensis BI429,BThermt TT,17249.0,1.0,"1,915,238",68.6,2.5,0.7,12.1,7.3,10.3,5.7,0.7
11.0,Thermosipho africanus TCF52B,BThermt TT,27767.0,1.0,"2,016,657",69.2,5.0,4.4,13.4,8.5,10.4,6.2,0.7
