iCorsi,Points/60,iCorsi/60,IPP,G/60,IAP,GP,Player Name,#
134,3.80,16.97,61.2,2.28,24.5,164,"HARTNELL, SCOTT",9
172,5.34,22.42,66.1,2.22,38.7,158,"VANEK, THOMAS",94
78,3.42,14.05,46.3,1.80,22.0,161,"BROUWER, TROY",23
125,4.53,21.78,66.7,2.44,30.8,142,"STAFFORD, DREW",32
150,4.00,21.43,57.1,2.71,18.4,153,"FRANZEN, JOHAN",16
143,3.75,19.84,73.0,1.39,45.9,145,"SKINNER, JEFF",116
159,5.21,20.21,67.2,1.65,45.9,161,"JOKINEN, OLLI",102
92,4.52,13.40,62.0,1.75,38.0,139,"TOEWS, JONATHAN",34
112,4.40,17.00,60.4,1.67,37.5,164,"BACKES, DAVID",48
88,2.14,17.15,45.8,1.36,16.7,150,"CLUTTERBUCK, CAL",84
121,4.38,18.91,60.9,0.94,47.8,126,"KOIVU, MIKKO",156
218,4.03,23.11,67.9,1.80,37.5,164,"IGINLA, JAROME",78
84,2.89,13.47,40.9,0.48,34.1,154,"KREJCI, DAVID",164
114,2.99,21.29,51.6,1.68,22.6,144,"BOOTH, DAVID",109
65,3.51,13.41,53.1,0.62,43.8,149,"KOIVU, SAKU",163
63,1.28,11.53,35.0,1.28,0.0,146,"PENNER, DUSTIN",29
181,5.34,20.57,66.2,2.95,29.6,162,"PERRY, COREY",24
90,3.87,14.51,75.0,1.29,50.0,155,"MACARTHUR, CLARKE",58
56,3.24,12.95,66.7,1.39,38.1,150,"BAILEY, JOSH",83
72,3.31,14.92,64.0,1.24,40.0,155,"SEGUIN, TYLER",81
158,4.11,24.05,65.9,1.83,36.6,155,"WILLIAMS, JUSTIN",66
52,4.32,9.35,68.6,1.26,48.6,124,"DESHARNAIS, DAVID",27
146,4.98,21.39,72.3,1.76,46.8,146,"HOSSA, MARIAN",101
71,2.43,14.41,44.4,1.42,18.5,153,"KOSTITSYN, ANDREI",21
251,6.55,29.90,78.6,2.62,47.1,155,"SELANNE, TEEMU",86
204,4.70,23.39,50.6,2.06,28.4,159,"KESLER, RYAN",71
71,3.51,14.66,60.7,1.24,39.3,150,"WILSON, COLIN",82
157,3.21,26.53,59.4,0.68,46.9,160,"STOLL, JARRET",167
125,3.68,19.99,71.9,2.24,28.1,161,"RYDER, MICHAEL",22
68,3.99,13.57,69.0,1.00,51.7,161,"WHEELER, BLAKE",89
147,3.49,20.50,61.0,1.39,36.6,147,"BRIERE, DANIEL",112
86,5.85,13.98,78.3,1.46,58.7,126,"DATSYUK, PAVEL",14
96,3.00,19.17,50.0,2.40,10.0,126,"HORTON, NATHAN",12
208,4.75,25.35,65.0,1.46,45.0,162,"ZETTERBERG, HENRIK",133
88,3.26,15.11,55.9,0.86,41.2,139,"PEVERLEY, RICH",121
92,2.81,13.63,65.5,0.89,44.8,164,"STEPAN, DEREK",103
87,3.78,18.25,64.3,2.52,21.4,141,"STEWART, CHRIS",17
173,4.42,23.90,59.3,1.52,38.9,155,"POMINVILLE, JASON",104
106,5.42,16.91,69.4,2.55,36.7,152,"HEJDUK, MILAN",18
163,3.56,20.74,57.1,2.04,24.5,156,"VRBATA, RADIM",63
232,5.00,29.03,57.1,2.13,32.9,156,"PAVELSKI, JOE",98
214,3.94,26.35,57.1,2.22,25.0,159,"NEAL, JAMES",70
199,3.52,24.17,64.4,1.46,37.8,151,"DOAN, SHANE",128
124,3.76,20.25,63.9,1.14,44.4,141,"SEMIN, ALEXANDER",106
209,2.89,24.19,62.5,0.93,42.5,157,"NASH, RICK",157
125,4.26,16.14,63.5,1.81,36.5,161,"ERIKSSON, LOUI",50
83,4.46,16.08,60.5,1.16,44.7,129,"OSHIE, TJ",115
115,3.23,17.66,55.3,2.00,21.1,155,"HORNQVIST, PATRIC",72
69,2.56,16.05,57.9,0.93,36.8,143,"STEMPNIAK, LEE",148
165,3.67,22.43,75.0,1.22,50.0,129,"LECAVALIER, VINCENT",147
131,3.09,17.59,45.1,1.21,27.5,151,"VERSTEEG, KRIS",91
95,3.25,15.46,47.6,0.81,35.7,161,"KOPECKY, TOMAS",154
165,4.32,19.81,62.1,2.64,24.1,164,"MOULSON, MATT",25
85,3.36,15.05,57.6,1.24,36.4,152,"FILPPULA, VALTTERI",59
94,3.43,17.94,62.1,1.34,37.9,148,"BOYES, BRAD",108
110,5.01,19.70,73.7,3.04,28.9,126,"HALL, TAYLOR",10
69,3.56,16.35,65.2,1.66,34.8,150,"KNUBLE, MIKE",44
102,4.57,18.66,75.8,1.28,54.5,151,"CLOWE, RYANE",129
84,4.35,10.15,67.9,1.09,50.9,156,"RIBEIRO, MIKE",28
159,2.00,19.87,35.6,0.12,33.3,158,"VORACEK, JAKUB",170
60,3.28,10.94,62.1,1.28,37.9,156,"OTT, STEVE",53
61,3.77,13.51,70.8,1.33,45.8,152,"KULEMIN, NIKOLAI",38
101,3.11,18.46,47.2,2.19,13.9,162,"SIMMONDS, WAYNE",54
105,2.56,15.79,54.8,1.20,29.0,153,"RUUTU, TUOMO",74
120,3.86,23.15,69.0,1.54,41.4,141,"SETOGUCHI, DEVIN",141
130,3.15,16.40,55.6,1.77,24.4,164,"BROWN, DUSTIN",46
103,2.62,13.50,52.6,1.70,18.4,163,"COLE, ERIK",30
