G,MP,DRB%,ORtg
64,21:00,23.5,122
61,7:00,19.4,83
3,14:00,0.0,140
33,31:00,11.6,124
32,8:00,15.0, 
16,12:00,9.5,63
24,5:00,0.0,0
5,14:00,9.0,112
1,6:00,17.8, 
11,12:00,0.0,48
54,22:00,14.5,225
29,14:00,47.6,108
26,11:00,9.5,134
37,10:00,30.0,110
9,20:00,38.9,60
42,33:00,9.7,152
55,12:00,0.0,95
13,5:00,0.0,0
41,15:00,19.6,152
23,18:00,17.8,79
30,16:00,8.1,43
59,8:00,0.0,212
49,40:00,3.3,74
48,27:00,11.6,128
19,15:00,7.0,0
43,22:00,5.5,77
62,11:00,42.6,82
7,16:00,7.5,47
34,6:00,24.2,220
14,12:00,12.1,73
38,8:00,15.4,43
25,21:00,0.0,160
44,24:00,10.3,83
65,15:00,0.0,0
40,38:00,24.8,120
36,18:00,11.3,56
28,16:00,0.0,61
63,6:00,0.0,121
31,2:00,68.6, 
4,14:00,38.1,78
