STL%,AST%,Date,TS%,TRB%,USG%,G,GS
1.9,0.0,2002-11-04,.282,8.8,10.8,4,0
0.0,18.6,2003-03-23,.543,14.3,15.8,41,0
0.0,12.8,2003-04-05,.600,18.9,10.1,45,0
4.2,12.9,2002-12-06,.500,19.0,11.6,11,0
0.0,8.3,2002-11-20,.694,8.6,9.1,6,0
0.0,0.0,2003-02-03,.717,11.2,11.8,30,0
3.0,7.8,2002-10-30,1.000,16.8,2.7,1,0
0.0,0.0,2003-03-14,.500,32.4,8.8,37,0
2.6,14.1,2003-04-15,.425,14.9,11.0,50,1
0.0,0.0,2003-04-01, ,0.0,0.0,43,0
0.0,0.0,2003-01-29,.333,16.3,16.0,27,0
3.9,0.0,2003-01-04,1.000,12.3,7.0,17,0
3.2,15.3,2003-04-11,.580,18.8,16.1,48,1
4.0,11.6,2002-12-12,.333,22.6,10.0,14,0
4.3,0.0,2003-01-18, ,7.0,1.9,22,0
5.2,15.1,2003-03-16,.615,6.2,7.5,38,0
2.8,19.1,2003-01-17,.500,11.4,7.2,21,0
2.0,6.1,2003-02-01,.333,11.3,8.1,29,0
0.0,0.0,2002-11-27,.833,11.5,11.7,7,0
4.9,19.7,2003-03-11,.667,11.0,15.3,35,0
2.9,6.5,2003-03-22,.000,9.4,2.6,40,0
3.6,9.3,2003-01-24,.595,15.1,22.0,25,0
6.5,9.7,2003-02-11,.000,18.2,8.5,32,0
0.0,0.0,2003-01-26,.532,27.6,8.1,26,0
0.0,21.4,2003-01-31,.333,22.2,17.6,28,0
0.0,0.0,2003-01-08, ,22.1,0.0,19,0
0.0,27.3,2002-12-03,.250,27.3,16.6,9,0
7.0,0.0,2003-02-04,.333,11.5,12.4,31,0
0.0,0.0,2003-04-02,.512,21.8,12.2,44,0
