Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jed Lowrie,Paw,53,198,35,53,14,2,5,32,1,0,31,43,0.268,0.359,0.434,0.793
Ryan Khoury,PorLow,90,315,47,90,21,2,4,42,5,4,49,74,0.286,0.389,0.403,0.792
Aaron Bates,Por,124,457,61,126,29,2,11,68,0,0,50,114,0.276,0.366,0.42,0.786
Eddie Lora,GCLDSL,45,152,22,36,6,1,5,26,0,1,36,50,0.237,0.387,0.388,0.776
Mickey Hall,PorLan,94,300,56,69,17,2,14,37,7,1,45,111,0.23,0.335,0.44,0.775
Aaron Reza,LanGre,117,400,63,108,22,4,9,47,3,0,43,79,0.27,0.359,0.413,0.772
Rafael Cabreja,3 Teams,46,158,27,37,9,3,3,21,4,4,32,35,0.234,0.373,0.386,0.759
Bryan Peterson,GCL,38,137,20,38,7,3,1,24,7,2,18,31,0.277,0.361,0.394,0.755
Kristopher Negron,3 Teams,129,434,73,115,24,8,8,46,31,6,37,75,0.265,0.34,0.412,0.753
David Marks,Gre,81,273,42,62,18,2,10,35,2,3,42,102,0.227,0.335,0.418,0.753
Jason Place,Lan,114,484,88,119,25,4,19,65,5,5,44,147,0.246,0.32,0.432,0.752
Roberto Feliz,GCL,40,142,16,33,6,1,7,25,5,0,13,39,0.232,0.313,0.437,0.749
Pedro Chourio,DSL,65,232,38,55,11,6,5,35,0,0,29,71,0.237,0.347,0.401,0.747
Zak Farkes,Lan,88,319,47,80,20,2,10,48,4,1,28,72,0.251,0.32,0.42,0.74
Rafael Espinoza,DSL,65,236,40,56,9,8,0,28,14,5,50,65,0.237,0.397,0.343,0.74
Tyler Weeden,Gre,53,187,26,42,12,0,8,32,1,0,22,63,0.225,0.319,0.417,0.736
Gil Velazquez,Paw,101,350,54,91,17,4,10,46,3,3,22,73,0.26,0.31,0.417,0.727
Ryan Kalish,LanGre,114,433,57,118,22,1,5,46,19,4,61,99,0.273,0.365,0.363,0.727
Chih-Hsiang Huang,GCL,42,133,16,33,12,0,2,14,1,0,20,38,0.248,0.344,0.383,0.727
Ricardo Burgos,Low,41,121,24,24,8,1,4,22,3,2,29,47,0.198,0.344,0.38,0.724
Christopher De La Rosa,DSL,42,137,25,30,10,2,1,16,7,3,24,47,0.219,0.378,0.343,0.721
Leonel Escobar,DSL,47,150,29,42,6,0,0,11,3,0,19,24,0.28,0.397,0.32,0.717
Argenis Diaz,PorLan,110,395,51,112,17,8,2,52,3,3,30,90,0.284,0.332,0.382,0.714
Javier Gutierrez,DSL,65,230,38,53,14,2,3,29,7,2,40,60,0.23,0.364,0.348,0.712
Andrew Pinckney,Por,57,221,27,60,12,1,5,37,1,1,9,48,0.271,0.3,0.403,0.703
