3PA,DRB,3P%,FT%,3PM,GP
0.5,10.0,0.143,0.717,0.1,14
2.8,4.2,0.182,0.588,0.5,4
5.4,3.8,0.415,0.941,2.2,12
6.3,5.0,0.383,0.916,2.4,17
2.5,1.3,0.371,0.632,0.9,14
4.1,1.1,0.303,0.821,1.2,8
1.6,3.9,0.222,0.846,0.4,11
6.3,4.2,0.524,0.85,3.3,10
2.2,7.0,0.273,0.889,0.6,5
6.0,4.1,0.389,0.819,2.3,12
7.9,4.2,0.359,0.7,2.8,18
4.5,2.8,0.167,0.969,0.8,4
8.0,1.8,0.406,0.833,3.2,4
0.0,4.0,0.0,0.8,0.0,4
2.7,2.3,0.467,0.957,1.3,11
4.0,2.1,0.571,1.0,2.3,7
0.0,10.4,0.0,0.412,0.0,17
0.0,6.1,0.0,0.667,0.0,10
4.2,4.1,0.38,0.432,1.6,17
1.0,6.8,0.5,0.889,0.5,4
0.1,8.4,0.0,0.559,0.0,7
4.5,4.4,0.403,0.78,1.8,16
5.5,3.3,0.333,0.714,1.8,6
2.6,4.3,0.222,0.692,0.6,7
2.1,1.5,0.235,0.857,0.5,16
0.0,4.5,0.0,0.79,0.0,20
3.0,2.5,0.417,1.0,1.2,4
1.3,2.7,0.0,0.588,0.0,7
0.8,4.3,0.0,0.583,0.0,6
0.0,9.9,0.0,0.427,0.0,14
2.5,3.0,0.3,0.769,0.8,4
5.5,9.4,0.227,0.731,1.2,20
3.2,1.5,0.231,0.533,0.8,4
6.3,4.1,0.365,0.831,2.3,10
3.5,1.5,0.214,0.667,0.8,4
0.0,4.1,0.0,0.478,0.0,10
