SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1963 - 1964,Åkers IF,Division 3,-,-,-,-,-,-,-,-,-,-,-
1973 - 1974,Åkers IF,Division 2,-,-,-,-,-,-,-,-,-,-,-
1974 - 1975,Åkers IF,Division 3,-,-,-,-,-,-,-,-,-,-,-
1978 - 1979,Åkers IF,Division 2,-,-,-,-,-,-,-,-,-,-,Promoted
1979 - 1980,Åkers IF,Division 1,36,4,3,29,-,-,96,246,11,9,Relegated
1980 - 1981,Åkers IF,Division 2,-,-,-,-,-,-,-,-,-,-,-
1998 - 1999,Åkers IF,Division 3,27,4,3,20, , ,89,172,11,10,-
1999 - 2000,Åkers IF,Division 2,27,13,4,10, , ,136,118,30,5,-
2000 - 2001,Åkers IF,Division 2,28,19,5,4, , ,137,75,43,2,-
2001 - 2002,Åkers IF,Division 2,28,6,3,19,-,-,100,159,15,7,-
2002 - 2003,Åkers IF,Division 2,24,5,8,11,-,-,70,103,18,5,-
2003 - 2004,Åkers IF,Division 3,22,13,2,7, , ,111,79,28,5,-
2004 - 2005,Åkers IF,Division 3,22,15,1,6, , ,146,74,31,2,-
2005 - 2006,Åkers IF,Division 3,22,10,4,8, , ,103,96,24,5,-
2006 - 2007,Åkers IF,Division 3,22,14,6,2, , ,135,75,34,2,Promoted
2007 - 2008,Åkers IF,Division 2,18,7,4,7, , ,55,66,18,5,-
2008 - 2009,Åkers IF,Division 2,18,10,1,7, , ,76,68,21,5,-
2009 - 2010,Åkers IF,Division 2,18,14,0,4, , ,102,48,28,2,Kval upp
 ,Åkers IF,Kval Div.1,8,3,-,2,1,2,29,25,13,3,-
2010 - 2011,Åkers IF,Division 2,16,15,0,1,-,-,114,54,30,1,Promoted
 ,Åkers IF,Kval Div.1,8,5,-,2,0,1,27,26,16,2,Promoted
2011 - 2012,Åkers IF,Division 1,27,15,-,6,5,1,117,83,56,1,-
 ,Åkers IF,Division 1,14,8,-,4,2,0,61,44,28,3,Kval upp
2012 - 2013,Åker/Strängnäs,Division 1,27,12,-,12,1,2,83,90,40,4,-
 ,Åker/Strängnäs,Division 1,14,8,-,5,0,1,55,60,25,4,Kval upp
2013 - 2014,Åker/Strängnäs,Division 1,27,16,-,6,4,1,141,85,57,2,-
 ,Åker/Strängnäs,Division 1,14,2,-,9,2,1,35,53,11,6,-
2014 - 2015,Åker/Strängnäs,Division 1,22,11,-,8,2,1,84,85,38,5,-
 ,Åker/Strängnäs,Division 1,14,9,-,3,1,1,61,46,37,1,Kval upp
2015 - 2016,Åker/Strängnäs,Division 1,-,-,-,-,-,-,-,-,-,-,-
