Player,Team,Year,Week,Opp,Total DYAR,Rush DYAR,Rec DYAR,Runs,RuYd,RuTD,Pass,Rec,RecYd,RecTD
Edgerrin James,IND,2002,1,JAC,-43,6,-49,26,99,0,9,2,10,0
Ricky Williams,NO,1999,17,CAR,-86,-46,-40,14,7,0,7,5,5,0
Duce Staley,PHI,2000,4,NO,-72,-33,-39,18,44,0,5,3,16,0
Charles Way,NYG,1998,3,DAL,-48,-9,-39,9,26,0,7,5,0,0
Ricky A. Williams,IND,2003,6,CAR,-57,-21,-37,17,57,0,5,2,7,0
Tony Hollings,HOU,2003,14,JAC,-64,-28,-36,18,19,0,5,1,6,0
Adrian Murrell,NYJ,1995,17,NO,-38,-2,-35,10,43,0,10,9,12,0
Terrell Davis,DEN,1995,7,OAK,-65,-30,-35,18,34,0,11,5,25,0
James Stewart,DET,2002,4,NO,-49,-15,-34,18,65,0,5,3,-5,0
Curtis Martin,NYJ,1999,9,ARI,-58,-24,-34,38,131,0,5,4,2,0
Willis McGahee,BUF,2004,15,CIN,-53,-19,-33,11,25,0,3,2,-1,0
Steven Jackson,STL,2007,1,CAR,-61,-28,-33,18,59,0,7,1,3,0
Ricky Williams,NO,2001,17,SF,-90,-58,-33,11,33,0,5,4,-8,0
Edgar Bennett,GB,1995,4,JAC,-50,-17,-32,21,66,0,4,3,16,0
Michael Bennett,KC,2007,2,CHI,-38,-6,-32,7,14,0,4,3,24,0
