Part#,Resolution,Throughput Rate,Number of Channels,Circuit Architecture,INL in LSBs (max),SNR (typ),Power Dissipation (typ),Operating Temp Range,Analog Input Type,DNL (max),Vin Single Pin (max),US Price 1000 to 4999
AD7172-4,24,31.25 kSPS,8,Sigma-Delta,-,-,11 mW,-,"Differential, Pseudo Diff, Single-Ended",-,-,$7.85
AD7916,16,500 kSPS,1,SAR,-,-,3.7 mW,-40 to +125,Differential,0.9,5 V,$8.10
AD7915,16,1 MSPS,1,SAR,-,-,7 mW,-40 to +125,Differential,0.9,5 V,$12.50
AD7177-2,32,10 kSPS,4,Sigma-Delta,-,-,52 mW,-,"Differential, Pseudo Diff, Single-Ended",-,-,-
AD9690,14,500 MSPS,1,Pipelined,-,-,1.5 W,-40 to 85°C,Differential,0.7,-,$136.00
AD9655,16,125 MSPS,2,Pipelined,-,-,299 mW,-40 to 85°C,Differential,0.7,-,$143.48
AD7981,16,600 kSPS,1,SAR,2,-,-,-55 to 175 C,"Diff-Uni, Pseudo Diff",0.9,5.1 V,$90.00
AD7405,16,-,1,Sigma-Delta Modulator,12,-,208 mW,-40 to +125,-,0.99,320 mV,$3.35
AD7172-2,24,31.25 kSPS,4,Sigma-Delta,-,-,11 mW,-,"Differential, Pseudo Diff, Single-Ended",-,-,$7.45
AD5593R,-,-,8,-,-,-,-,-,-,-,-,$3.25
AD5592R,-,-,8,-,-,-,-,-,-,-,-,$3.25
ADAS1131,24,-,256,-,-,-,-,-,-,-,-,-
AD9234,12,1 GSPS,2,-,1.4,-,3 W,-40 to +85,Diff-Uni,0.3,-,$238.00
AD7903,16,1 MSPS,2,-,2,-,12 mW,-40 to +125,Diff-Uni,1,-,$15.00
AD7175-2,24,250 kSPS,4,Sigma-Delta,-,-,52 mW,-,"Differential, Pseudo Diff, Single-Ended",-,5.05 V,$11.85
AD9993,-,-,-,Pipelined,-,-,-,-40 to +85,-,-,-,$148.70
AD9680-1.0,14,1 GSPS,2,Pipelined,-,-,3.3 W,-40 to +85,Differential,0.8,-,$584.38
AD9652,16,310 MSPS,2,Pipelined,-,-,2.16 W,-40 to +85,Diff-Uni,1.1,-,$231.25
ad9625-2.0,12,2 GSPS,1,Pipelined,-,-,3.48 W,-40 to +85,Differential,0.7,1.1 V,$624.75
AD7902,16,1 MSPS,2,SAR,1,-,12 mW,-40 to +125,Pseudo Diff,0.5,-,$15.00
AD7403,16,-,1,Sigma-Delta Modulator,12,-,231 mW,-40 to +125,Diff-Uni,0.99,-,$3.15
AD9656,16,125 MSPS,4,Pipelined,-,-,771 mW,-40 to +85,Diff-Uni,2.54,-,$258.27
AD7989-5,18,500 kSPS,1,SAR,2,-,2.5 mW,-40 to +85,"Diff-Uni, Pseudo Diff",1.5,-,$11.95
AD7989-1,18,100 kSPS,1,SAR,2,-,700 µW,-40 to +85,"Diff-Uni, Pseudo Diff",1.5,-,$8.55
AD7656A-1,16,250 kSPS,6,SAR,3,-,140 mW,-40 to +85,SE-Bip,-,-,$12.45
AD7656A,16,250 kSPS,6,-,3,-,140 mW,-40 to +85,SE-Bip,-,-,$12.45
AD7091R-8,12,1 MSPS,8,-,1,-,3.4 mW,-40 to +125,-,0.9,-,$3.36
AD7091R-4,12,1 MSPS,4,-,1,-,3.4 mW,-40 to +125,-,0.9,-,$2.67
AD7091R-2,12,1 MSPS,2,-,1,-,2.8 mW,-40 to +125,-,0.9,-,$2.47
ADE7913,24,-,3,Sigma-Delta,-,-,-,-40 to +85,Pseudo Diff,-,-,$5.71
ADE7912,24,-,2,Sigma-Delta,-,-,-,-40 to +85,Pseudo Diff,-,-,$5.42
AD9681,14,125 MSPS,8,Pipelined,-,-,988 mW,-40 to +85,Diff-Uni,0.8,-,$197.20
AD9675,14,-,8,-,-,75,-,-,-,-,-,$68.00
AD9671,14,-,8,-,-,75,-,-,-,-,-,$75.00
AD9249,14,-,16,Pipelined,-,-,995 mW,-40 to +85,-,0.6,-,$113.86
AD7173-8,24,31.25 kSPS,16,Sigma-Delta,-,-,10 mW,-40 to +105,"Differential, Pseudo Diff, Single-Ended",-,-,$8.30
AD7961,16,5 MSPS,1,SAR,0.2,-,64.5 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.14,-,$21.00
AD7960,18,5 MSPS,1,SAR,0.8,-,21 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.5,-,$31.00
AD7294-2,-,-,4,-,-,-,-,-,-,-,-,-
ADAS3023,16,125 kSPS,8,-,-,-,-,-40 to +85,-,1.25,-,$15.95
ADAS1256,16,-,256,-,-,-,-,-,-,-,-,-
AD9683,-,-,-,-,-,-,-,-,-,0.5,-,-
AD9674,14,-,8,-,-,75,-,-,-,-,-,$62.00
ADAU1977,24,-,-,-,-,-,-,-,-,-,-,$5.06
ADAS1000-1,19,-,5,-,-,100,-,-,-,-,-,$15.20
AD9670,14,-,8,-,-,75,-,-,-,-,-,$69.00
ADAS3022,16,1 MSPS,8,SAR,-,-,-,-40 to +85,-,1,-,$14.95
ADAS1000-4,19,-,3,-,-,100,-,-,-,-,-,$11.40
ADAS1000-3,19,-,3,-,-,100,-,-,-,-,-,$10.83
ADAS1000-2,19,-,5,-,-,100,-,-,-,-,-,$10.83
AD9250,14,250 MSPS,2,Pipelined,-,-,607 mW,-40 to +85,Diff-Uni,0.25,-,$72.49
AD7292,10,-,8,-,0.5,-,-,-,"Diff-Uni, SE-Uni",0.99,-,$3.92
AD7176-2,24,250 kSPS,4,Sigma-Delta,117,-,45 mW,-40 to +105,"Differential, Pseudo Diff, Single-Ended",-,-,$10.25
AD7091,12,1 MSPS,1,SAR,0.6,-,142 µW,-40 to +125,-,0.3,-,$1.60
AD6673,11,250 MSPS,2,-,-,-,-,-,-,-,-,$74.80
ADAS1000,24,-,5,-,-,100,-,-,-,-,-,$18.24
AD9635,12,-,-,-,0.7,-,-,-,-,0.2,-,$18.69
AD7091R,12,1 MSPS,1,SAR,0.8,-,1 mW,-40 to +125,SE-Uni,0.3,-,$2.15
AD9653,16,125 MSPS,4,Pipelined,-,-,673 mW,-40 to +85,-,0.8,-,$250.00
AD7988-5,16,500 kSPS,1,SAR,1.25,-,3.5 mW,-40 to +125,Diff-Uni,0.9,-,$7.55
AD7988-1,16,100 kSPS,1,-,1.25,-,0.7 mW,-40 to +125,Diff-Uni,0.9,-,$6.50
AD9637-40,12,40 MSPS,8,Pipelined,-,-,347 mW,-40 to +125,Diff-Uni,-,-,$40.46
AD9633-105,12,105 MSPS,4,Pipelined,-,-,385 mW,-40 to +85,Diff-Uni,-,-,$57.80
AD9257-40,14,40 MSPS,8,-,-,-,360 mW,-40 to +85,Diff-Uni,-,-,$46.67
AD9253-105,14,105 MSPS,4,Pipelined,-,-,405 mW,-40 to +85,Diff-Uni,-,-,$99.45
AD6657A,11,200 MSPS,4,Pipelined,-,-,-,-40 to +85,-,-,-,$111.35
AD9648-105,14,105 MSPS,2,Pipelined,-,-,220.5 mW,-40 to +85,Diff-Uni,-,-,$42.29
AD9642-170,14,170 MSPS,1,Pipelined,-,-,311 mW,-40 to +85,"Diff-Bip, Diff-Uni",-,-,$38.40
AD9634-170,12,170 MSPS,1,Pipelined,-,-,311 mW,-40 to +85,Diff-Uni,-,-,$20.35
AD9628-105,12,105 MSPS,2,Pipelined,-,-,243 mW,-40 to +85,"Diff-Bip, SE-Uni",-,-,$27.57
