G,eFG%,ORtg,DRB%,GS,USG%,BLK%
8,.444,97,29.7,1,20.4,3.7
30,1.000,113,36.1,0,18.4,5.5
67,1.000,152,13.1,1,10.8,4.3
25,.000,109,20.5,0,7.6,0.0
37,.500,100,0.0,0,36.6,0.0
39,.000,36,29.8,0,11.6,0.0
29,1.000,196,15.0,0,19.5,0.0
53,1.000,206,30.8,1,11.8,0.0
38,.500,105,0.0,0,9.0,0.0
51,.400,121,26.2,1,12.7,0.0
63, , ,0.0,0,0.0,0.0
16,.600,136,32.0,1,14.3,0.0
59,.750,152,27.7,0,19.8,0.0
45,.400,72,14.9,1,18.7,4.6
52,.333,127,6.0,1,9.6,4.6
43,.333,64,20.0,0,13.4,0.0
14, , ,50.0,0,0.0,0.0
27,.200,122,26.4,0,17.1,5.0
72,.571,140,20.1,1,11.1,3.9
50,.600,123,16.0,1,11.6,0.0
24,.444,123,9.1,1,16.3,0.0
42,.750,150,0.0,0,12.3,0.0
22, , ,66.7,1,0.0,0.0
73,1.000,142,0.0,1,32.2,0.0
41,.500,156,8.4,0,14.4,0.0
60,1.000,200,26.2,0,4.7,0.0
23,.000,64,14.6,1,9.9,0.0
21,.000,65,31.9,1,7.8,0.0
13,.250,69,22.3,0,14.0,0.0
5,.333,41,42.0,1,14.2,9.5
35,.500,123,42.2,0,24.4,7.2
20, , ,0.0,1,0.0,0.0
6,.333,31,17.8,1,21.5,0.0
47,.429,90,20.5,1,17.8,0.0
65, ,222,0.0,0,0.0,0.0
32,.400,113,12.2,0,12.9,0.0
55,.667,145,23.6,1,10.5,0.0
62, , ,0.0,0,0.0,0.0
2,1.000,153,17.8,1,12.2,0.0
61,.167,73,31.9,0,25.0,0.0
40,.750,147,35.3,0,28.2,0.0
66,.000,58,10.9,0,7.7,0.0
74,.375,97,4.3,1,18.1,0.0
48,.500,106,40.8,0,14.5,5.0
