3B,H,RBI,SF
0,0,0,0
3,53,39,2
0,4,1,0
0,26,21,2
1,13,9,1
0,1,4,1
3,41,15,1
2,29,12,0
1,13,6,0
1,4,5,0
0,25,18,2
0,2,0,0
2,44,36,1
2,24,11,1
1,25,16,0
0,2,1,0
0,17,3,0
1,37,18,1
1,6,0,0
2,23,11,0
4,45,22,2
0,9,6,0
0,0,0,0
12,68,32,4
1,14,9,1
2,32,17,3
0,7,4,0
0,0,1,0
3,43,31,2
1,12,4,0
2,9,5,0
0,36,19,1
0,17,8,3
2,30,27,5
0,6,3,1
0,13,10,0
3,21,12,0
0,6,4,0
0,4,3,0
4,46,24,2
1,31,17,1
0,2,4,1
0,7,0,0
2,32,22,1
3,31,17,1
0,0,0,0
1,32,23,2
1,20,13,0
1,3,4,0
1,19,7,2
1,24,16,2
3,17,8,1
0,23,12,2
0,9,3,0
2,27,15,3
0,4,2,0
2,27,13,0
0,4,7,0
0,4,4,0
0,8,3,0
0,7,8,2
1,44,43,3
0,11,5,0
2,34,14,1
3,14,6,1
2,29,22,1
3,26,11,0
2,43,22,3
0,18,12,1
0,0,0,0
0,9,2,0
4,43,20,0
0,8,4,0
1,5,2,0
0,0,1,0
0,21,6,0
1,31,16,0
5,44,29,0
0,4,1,0
3,47,25,2
4,31,23,0
0,37,21,1
1,26,13,2
3,12,11,0
1,29,11,1
1,5,3,0
0,2,0,0
0,7,2,1
4,52,28,0
1,48,23,0
1,34,20,0
2,38,19,1
0,9,3,0
5,28,14,0
0,0,0,0
1,9,3,1
0,27,20,1
4,34,17,0
3,54,31,2
1,30,16,2
0,11,6,2
1,15,16,0
2,48,16,1
0,13,9,1
0,27,10,0
2,32,18,5
5,43,19,3
0,29,24,0
2,29,23,2
2,8,7,1
0,0,2,2
2,18,19,2
3,29,14,1
0,2,1,0
3,66,39,4
0,1,2,0
1,17,5,0
1,48,21,2
7,50,31,2
0,2,1,0
1,7,5,0
3,59,16,4
0,0,0,0
0,3,1,0
1,16,11,1
6,41,23,1
1,11,9,1
0,10,10,0
2,23,10,0
0,22,6,1
3,34,17,1
0,23,6,0
5,37,20,3
2,8,6,0
1,11,7,1
0,5,1,0
0,6,2,0
0,10,3,0
0,0,0,0
