HR,R,Player,SLG,G,3B,SF,GIDP,H
5,43,B Marsters,.305,111,0,1,9,78
15,65,A Romero,.458,139,2,3,12,153
1,11,R Triplett,.476,18,0,1,0,21
15,90,C Roberson,.465,139,8,4,6,172
2,5,K Kelly,.447,12,1,0,1,10
0,22,B Pattee,.288,42,0,1,2,30
2,27,T Pratt,.269,74,1,1,7,43
4,30,S Tousa,.340,59,2,3,4,52
0,1,W Morris,.136,5,0,0,1,2
4,35,K Perez,.375,66,1,3,4,72
1,7,J Lorenzo,.278,17,1,1,2,10
7,20,D Brown,.323,56,0,2,3,34
0,3,B LeVier,.270,13,0,0,1,8
27,59,R Ruiz,.669,89,0,5,6,120
15,51,J Richardson,.410,122,1,2,15,96
11,41,J Cooper,.478,57,2,4,5,52
0,0,R Hutchison,--,3,0,0,0,0
3,16,V Chiaravalloti,.351,45,0,2,5,35
0,9,J Emmerick,.226,44,0,0,6,25
1,10,J Knoedler,.342,32,0,0,1,18
0,1,E Cruz,.600,3,0,0,0,2
0,0,C McCullough,.091,4,0,0,0,1
4,34,M Huggins,.290,118,2,4,10,84
1,10,M Carson,.273,28,0,0,2,19
4,18,J Sosa,.387,40,0,0,10,44
16,47,J Deschaine,.427,125,1,3,13,94
3,9,S Langaigne,.391,34,0,3,0,28
0,1,S Neuberger,.263,10,0,0,0,10
0,1,J Morales,.300,7,0,0,3,5
0,0,M Lombardi,.000,1,0,0,0,0
2,5,A Prieto,.383,16,0,1,2,10
0,0,A Freire,.385,3,0,1,2,5
2,17,F Molina,.418,36,0,3,1,35
0,6,J Waugh,.200,13,0,0,0,7
0,0,V Rooi,.579,5,1,0,0,6
0,7,B Vericker,.297,30,0,0,2,20
1,6,D Trumble,.378,21,0,0,2,8
15,50,J Caligiuri,.426,109,3,5,5,88
0,2,R Church,.333,4,0,0,0,5
2,18,J Inglin,.282,43,0,4,2,29
3,12,A Camacaro,.371,34,0,1,3,27
14,42,D DeMent,.578,71,1,4,4,88
0,4,J Mauer,.313,24,0,0,3,8
2,8,T Lee,.329,24,1,1,2,16
5,23,R Sadler,.416,62,2,0,4,51
8,39,D Pedroia,.508,66,2,2,7,83
5,30,S Norris,.322,84,0,4,3,66
4,30,P Redman,.472,45,1,6,7,50
1,29,R Nieves,.277,89,2,2,5,49
8,61,C Valderrama,.422,130,3,4,11,145
0,3,C Lytle,.261,6,0,0,0,5
5,13,R Hubele,.519,24,0,0,3,24
0,1,J Lopez,.467,4,0,1,0,6
2,33,M Rabelo,.365,77,1,2,6,77
12,29,L Broadway,.538,52,0,3,6,50
1,32,C Leon,.351,75,1,1,7,63
5,18,J Hietpas,.328,65,0,0,2,44
3,16,N Grindell,.367,49,0,3,5,39
6,38,B Hitchcox,.331,120,1,3,9,87
5,38,R Walter,.421,83,2,1,6,64
1,8,T Lunsford,.207,36,0,1,5,19
0,1,O Bramasco,.000,3,0,0,0,0
3,7,J Cardona,.519,15,0,1,2,15
11,69,A Baldiris,.416,131,1,2,6,136
20,85,D Ortmeier,.463,135,6,3,2,138
7,79,F Lewis,.396,137,7,4,9,140
10,34,U Davenport,.421,95,1,1,10,97
1,6,M O'Keefe,.250,11,0,1,1,7
3,19,N Markakis,.573,33,2,1,5,42
0,1,J Hammonds,.333,2,0,0,1,1
19,50,S Pond,.473,110,1,1,10,108
3,9,J Singleton,.388,21,1,1,1,17
2,6,K Phillips,.313,22,0,3,0,14
4,17,C Keylor,.325,48,0,0,4,34
2,21,S Fulse,.289,60,2,2,3,29
0,15,V Buttler,.373,25,1,0,1,26
3,39,M Jova,.344,97,2,2,15,100
3,23,O Rogers,.301,67,0,0,6,49
4,50,T Watkins,.326,116,0,0,7,73
2,70,W Lydon,.340,129,13,2,6,120
0,13,B Watson,.253,34,0,0,2,36
14,26,C Lambin,.657,53,0,1,3,60
12,41,C Maples,.405,93,0,4,6,75
16,37,B Harper,.533,67,0,1,6,62
3,13,E Crozier,.298,34,0,1,2,21
1,21,G Kingsale,.320,51,3,1,0,40
23,63,J Bautista,.503,117,1,2,9,126
9,53,J Hammond,.399,114,3,5,15,118
22,67,K Airoso,.535,99,1,4,7,107
