G,USG%,TRB%,ORtg,Tm,ORB%,eFG%,STL%,GS
7,17.1,3.9,165,IND,0.0,1.000,9.5,0
20,14.2,19.7,169,IND,18.0,1.000,0.0,0
23,18.0,7.9,103,IND,0.0,.400,2.3,0
16,14.3,14.1,223,IND,21.6,1.000,0.0,0
66,5.1,20.5,210,IND,10.8,1.000,0.0,0
37,24.4,22.9,127,IND,21.4,.667,6.8,0
63,12.5,7.1,112,IND,17.1,1.000,0.0,0
46,0.0,9.3, ,IND,0.0, ,0.0,0
68,8.0,12.7,100,IND,10.6,1.000,0.0,0
71,6.0,0.0,0,IND,0.0, ,0.0,0
42,0.0,7.8,200,IND,0.0, ,0.0,0
67,18.2,22.6,0,IND,0.0, ,10.5,0
40,4.3,12.0,116,IND,0.0, ,0.0,0
10,16.5,4.8,137,IND,0.0,.500,0.0,0
18,14.8,9.4,123,IND,8.1,.333,3.6,0
50,14.1,7.6,120,IND,10.1,.667,0.0,0
48,14.1,16.0,125,IND,0.0,.500,0.0,0
47,4.1,8.9,219,IND,6.7,1.000,0.0,0
34,17.2,17.2,100,IND,15.6,.000,0.0,0
52,10.5,11.7,116,IND,19.0,.500,2.2,0
35,14.9,11.0,98,IND,11.8,.571,1.9,0
79,21.9,12.7,108,IND,14.2,.333,0.0,0
44,28.4,21.8,65,IND,23.3,.273,0.0,0
1,10.3,15.0,66,IND,0.0,.333,2.2,0
15,20.3,25.5,38,IND,0.0,.000,0.0,0
76,13.4,17.2,47,IND,16.3,.000,0.0,0
28,19.1,4.2,45,IND,7.7,.333,0.0,0
73,8.2,13.8,76,IND,19.6,.000,0.0,0
60,7.1,0.0,38,IND,0.0, ,8.0,0
