Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Mookie Betts,SalGre,220,38,65,15,2,8,29,13,2,30,35,0.295,0.377,0.491,0.868
Garin Cecchini,PorSal,245,37,75,13,2,4,30,14,6,40,52,0.306,0.411,0.424,0.835
Xander Bogaerts,PawPor,217,33,60,11,1,7,28,2,2,34,42,0.276,0.378,0.433,0.811
Jackie Bradley Jr.,Paw,173,26,47,15,1,4,19,4,4,25,45,0.272,0.371,0.439,0.811
Jeremy Hazelbaker,Paw,230,35,69,10,2,6,33,24,3,16,62,0.3,0.344,0.439,0.783
Shannon Wilkerson,Por,227,38,62,12,6,2,21,16,5,36,56,0.273,0.373,0.405,0.778
J.C. Linares,PawPor,173,29,46,10,2,4,26,0,0,16,46,0.266,0.358,0.416,0.774
Tony Thomas,PawPor,255,32,66,19,4,6,45,9,2,18,62,0.259,0.317,0.435,0.752
Travis Shaw,Por,242,28,55,13,4,7,32,4,2,41,66,0.227,0.343,0.401,0.743
Blake Swihart,Sal,198,22,56,14,3,0,19,5,5,19,30,0.283,0.344,0.384,0.728
Christian Vazquez,PawPor,186,22,51,8,0,3,22,3,4,24,26,0.274,0.36,0.366,0.725
Henry Ramos,Sal,248,36,59,13,5,8,32,6,6,21,51,0.238,0.295,0.427,0.722
Michael Almanzar,Por,269,38,67,14,1,8,39,8,1,21,55,0.249,0.308,0.398,0.706
David Chester,SalGre,190,16,41,11,0,7,34,1,0,21,58,0.216,0.293,0.384,0.677
Aneury Tavarez,Gre,242,22,63,11,3,2,23,17,12,12,61,0.26,0.3,0.355,0.655
Deven Marrero,PorSal,218,28,57,9,0,1,15,18,1,22,44,0.261,0.329,0.317,0.646
Nick Natoli,3 Teams,174,22,38,9,1,1,13,7,1,26,44,0.218,0.32,0.299,0.619
Drew Sutton,Paw,183,25,42,10,1,0,20,4,2,26,37,0.23,0.321,0.295,0.616
Cody Koback,SalGre,215,21,52,10,1,0,24,7,2,17,42,0.242,0.315,0.298,0.613
Jonathan Diaz,Paw,180,19,45,2,0,0,15,6,1,22,40,0.25,0.348,0.261,0.609
Keury De La Cruz,Sal,278,30,62,18,0,4,35,7,5,15,73,0.223,0.259,0.331,0.59
Justin Henry,Paw,178,21,37,7,1,2,17,5,3,21,29,0.208,0.291,0.292,0.583
Jose Vinicio,Gre,193,23,38,5,0,1,11,8,4,6,62,0.197,0.224,0.238,0.462
