R/L,$,Opp,BatOrd,OPS,Date,HR,SP
R,208,PIT,5,1.0,2015-07-20,1,ABurnett
R,-36,@TOR,5,0.833,2015-08-02,0,RDickey
R,-40,@CLE,3,0.25,2015-07-29,0,CKluber
L,119,TB,3,1.1,2015-07-07,0,MMoore
R,4,TB,4,0.917,2015-07-09,0,NKarns
R,-82,MIN,5,0.0,2015-07-05,0,ESantana
R,4,TB,4,0.917,2015-07-09,0,NKarns
L,-48,@CHA,4,0.5,2015-07-17,0,JDanks
R,-70,PIT,5,0.333,2015-07-21,0,GCole
R,-58,@STL,0,0.0,2015-07-23,0,JLackey
L,-8,TOR,3,0.5,2015-07-11,0,MBuehrle
R,-82,@CLE,5,0.25,2015-07-28,0,TBauer
L,-48,@CHA,5,0.5,2015-07-17,0,JDanks
R,32,@TOR,5,0.75,2015-07-30,0,MEstrada
L,-48,@CHA,5,0.5,2015-07-17,0,JDanks
L,37,@TOR,5,1.0,2015-08-01,0,MBuehrle
L,-8,TOR,3,0.5,2015-07-11,0,MBuehrle
R,-48,HOU,3,0.75,2015-07-25,0,SFeldman
L,83,HOU,3,1.5,2015-07-26,0,DKeuchel
L,-48,@CHA,4,0.5,2015-07-17,0,JDanks
L,-48,@CHA,5,0.5,2015-07-19,0,CSale
R,149,@CLE,5,1.4,2015-07-27,0,CAnderson
R,-70,PIT,5,0.333,2015-07-21,0,GCole
L,37,@TOR,5,1.0,2015-08-01,0,MBuehrle
L,-48,@CHA,5,0.5,2015-07-17,0,JDanks
