GIDP,Player,BB,SB,CS,HR,AB,OBP,OPS
1,G Beckham,5,0,1,3,58,.365,.865
9,C Lee,19,10,9,2,332,.282,.607
2,J Priday,8,0,0,1,77,.315,.665
7,J Mahoney,24,2,0,7,352,.275,.624
2,J Abruzzo,13,1,0,5,203,.347,.795
0,J Reddick,5,2,1,0,53,.397,.887
2,J Lucroy,30,8,1,10,239,.391,.901
3,T Holiday,13,9,2,2,172,.291,.588
14,F Pena,25,0,0,6,397,.308,.688
3,J Castillo,2,0,0,0,66,.408,.863
1,R Corona,8,7,1,4,116,.273,.635
5,R Fronk,74,18,11,17,429,.398,.890
4,B Pruitt,8,0,0,0,59,.373,.661
10,J Nowicki,46,14,4,19,492,.345,.835
7,B Pellegrini,36,13,1,21,310,.331,.835
4,C Culberson,18,6,6,3,282,.290,.609
2,B Whiting,37,33,12,2,226,.377,.718
10,A Coe,15,6,7,7,392,.292,.677
4,B Seabury,11,3,2,1,170,.228,.464
5,D Christensen,23,12,3,11,335,.288,.682
2,C Lester,5,3,1,0,27,.219,.367
0,C Beck,0,0,0,0,0,--,--
10,A Krum,55,12,7,8,459,.356,.753
6,J Simmons,22,25,10,5,354,.277,.602
0,J Pacella,0,0,0,0,0,--,--
4,S Morales,50,18,2,6,401,.311,.651
3,A De La Rosa,5,1,1,4,118,.291,.681
16,Y Navarro,29,3,2,7,325,.341,.753
0,Z Penprase,10,2,1,0,98,.306,.601
4,M Willard,6,1,1,1,103,.241,.484
1,H Demmink,14,2,3,1,136,.312,.606
0,B Kawal,0,0,0,0,12,.250,.583
11,E Farris,24,32,10,3,454,.332,.709
4,S McCraw,21,0,1,0,128,.367,.703
2,J Infante,2,0,0,0,56,.155,.316
7,D Pickens,28,1,1,1,149,.356,.651
7,K Bolt,15,4,1,5,316,.321,.688
6,D Garcia,21,3,0,7,279,.275,.594
0,D Cox,5,0,0,0,15,.400,.600
1,E Alfonzo,1,0,0,1,16,.222,.660
1,C Anderson,11,0,0,0,77,.318,.617
8,M Thompson,37,19,4,5,416,.321,.655
0,W Flores,0,0,0,0,5,.400,.800
8,A Villalona,18,1,2,17,464,.312,.747
1,C Jackson,6,6,2,1,86,.309,.657
17,C Corrado,24,43,5,3,505,.315,.663
6,D Clark,9,3,2,1,158,.292,.621
3,P Figueroa,8,4,1,0,86,.367,.728
3,E Sarmiento,5,0,0,0,63,.246,.453
2,B Lapin,12,1,1,6,191,.264,.636
6,B Schultz,9,2,0,1,90,.330,.675
10,R Adams,36,12,5,11,448,.367,.829
5,J Smith,32,0,0,1,209,.340,.632
4,T Warren,23,6,0,2,231,.321,.654
5,B Petersen,38,15,6,19,296,.381,.921
5,M Taylor,31,10,3,10,249,.441,.995
18,M Arambarris,12,2,0,8,330,.250,.574
0,J Wolf,2,1,1,0,4,.857,2.107
5,J Williams,15,0,0,2,156,.275,.538
3,A Davis,31,7,4,3,194,.307,.606
0,S Welch,2,0,0,1,19,.364,.837
0,J Dominguez,11,6,4,1,140,.275,.546
3,C Lin,43,33,7,5,362,.342,.701
5,J Hehr,23,4,2,3,366,.291,.630
6,B Johnson,19,3,1,4,243,.271,.567
7,M Fleisher,24,0,2,14,307,.356,.890
2,J Henson,3,0,0,1,32,.351,.726
2,R Lucas,11,1,3,2,119,.252,.563
2,S Brown,22,15,6,10,340,.277,.633
8,C Johnson,40,8,3,26,468,.307,.786
2,J Ceballos,1,0,0,1,20,.227,.627
2,L Nieves,1,0,1,0,39,.200,.405
1,C Rodriguez,12,1,2,3,60,.373,.823
8,R Pena,25,1,3,2,290,.312,.670
3,L Sierra,4,4,1,2,92,.216,.488
12,T Henson,25,20,3,11,502,.310,.703
4,D Mollenhauer,24,19,2,2,348,.338,.760
9,C Guzman,20,14,3,8,294,.314,.719
0,J Melton,3,1,0,0,34,.316,.669
6,M Tucker,29,6,6,3,255,.368,.776
8,A Romine,25,3,0,10,407,.344,.781
0,L Fischer,0,0,0,0,11,.000,.000
4,C Miles,35,28,8,1,443,.296,.585
6,J Rogers,16,1,0,3,165,.297,.618
2,G Paiml,5,2,0,0,123,.238,.499
3,T Reagan,20,0,2,2,191,.296,.574
2,D Cash,4,5,0,1,62,.303,.706
0,Y Silva,16,2,1,2,54,.394,.783
0,C Weems,1,0,0,0,7,.250,.393
4,B Lasater,10,0,0,7,118,.306,.738
6,S Williams,4,0,0,0,144,.307,.640
3,T Hickman,49,1,0,15,338,.338,.767
14,Z Wheeler,61,13,11,13,503,.346,.751
5,J Curtis,23,2,1,3,219,.301,.603
3,T Di Benedetto,6,0,0,0,43,.360,.639
16,J Montero,37,2,1,17,525,.376,.868
10,W Schaeffer,20,6,2,3,287,.283,.604
5,M Inouye,14,4,3,6,203,.332,.756
2,O Guillen,7,0,2,0,44,.294,.476
12,O Martinez,13,5,5,6,304,.331,.742
5,E Salem,14,25,5,0,153,.357,.723
4,R Widlansky,2,0,0,0,45,.255,.589
5,J Lagares,8,3,4,2,181,.285,.622
2,U Snijders,20,0,1,4,135,.303,.651
3,W Crancer,28,1,2,6,286,.357,.798
14,D Holcomb,65,6,5,14,509,.400,.891
4,D Mitchell,20,9,6,11,453,.294,.698
7,K Simon,30,14,5,3,343,.310,.636
7,A Davis,33,4,2,3,439,.303,.654
4,M Valadez,8,1,1,1,132,.308,.626
12,G Baker,33,11,5,9,435,.329,.743
1,C Fields,1,0,0,0,41,.133,.207
1,J Valdes,3,0,1,2,54,.283,.691
13,M Dominguez,28,0,1,18,345,.354,.853
4,L Johnson,27,3,1,12,283,.366,.826
3,C Arnal,3,0,0,1,34,.351,.793
8,T Neal,48,3,4,15,428,.359,.803
4,A Laboy,29,6,5,6,251,.324,.699
0,S Susdorf,1,0,0,0,9,.200,.311
3,R Anetsberger,27,2,3,3,257,.357,.719
1,B Valichka,10,1,1,1,92,.368,.748
14,H Wrigley,24,7,3,7,404,.292,.676
0,J Munoz,2,2,0,0,82,.241,.473
8,M Burgess,46,5,1,18,401,.335,.804
9,A McClune,36,10,11,4,425,.274,.556
0,P Reese,2,0,0,1,16,.333,.771
0,D Leatherman,0,0,0,0,0,--,--
5,T Hagan,28,2,0,7,312,.338,.739
2,J Callender,2,0,0,0,49,.269,.535
3,J Stanley,28,3,0,17,285,.353,.872
0,A Howard,7,0,1,2,115,.230,.490
2,K Crowell,1,0,1,2,69,.229,.562
1,P Silveren,3,0,0,0,45,.313,.646
8,C Marrero,54,11,5,10,436,.355,.786
9,K Pope,21,7,3,12,383,.302,.685
3,M Angle,71,37,11,4,478,.385,.763
1,T Maccani,6,0,0,0,60,.313,.580
9,B Rhinehart,21,0,0,9,261,.344,.834
4,M Bouchard,15,5,6,3,223,.271,.612
7,E Huber,36,2,2,12,483,.320,.734
0,M Kennelly,2,0,0,0,35,.475,1.075
6,T Pahuta,33,1,0,17,405,.327,.786
3,S Houin,5,7,1,1,140,.265,.543
1,D Stegall,6,2,2,1,107,.252,.561
3,S Miranda,23,2,7,2,216,.383,.758
3,M Parker,15,2,0,3,212,.252,.554
8,M Sapp,30,0,1,4,255,.282,.576
4,J Sanchez,6,1,0,1,102,.231,.477
3,B Barnes,18,7,3,2,311,.285,.613
0,M Morris,2,1,1,0,31,.229,.422
2,B Morel,16,5,2,6,172,.359,.819
1,D Buller,14,2,0,5,96,.373,.894
3,B Monaghan,18,4,3,1,137,.297,.560
5,D Myers,14,10,1,1,207,.229,.470
4,S Dhaenens,17,2,0,0,144,.268,.477
0,L Day,1,0,0,0,15,.211,.344
3,A Cambero,2,4,1,0,56,.224,.421
0,C Shehan,0,3,0,0,14,.438,1.009
9,F Freeman,46,5,5,18,491,.378,.899
6,W Vazquez,17,0,1,1,186,.293,.610
10,M McCormick,31,2,1,13,375,.276,.641
11,S King,22,4,4,6,335,.336,.742
5,V Castillo,8,0,2,4,117,.276,.643
0,A Ricks,1,0,0,0,1,.500,.500
2,D Fonseca,7,1,2,2,85,.272,.566
2,J Mayer,3,0,0,0,23,.154,.197
0,A LaRoche,2,0,0,1,10,.667,1.667
6,B Rike,62,13,7,15,445,.346,.732
0,V Alvarez,6,0,0,0,46,.250,.402
1,S Shults,1,0,0,3,49,.220,.628
0,J Stephen,1,0,0,0,25,.111,.151
11,B Suttle,45,2,1,11,377,.348,.804
1,M Almanzar,5,0,1,2,140,.238,.552
15,B Laird,40,1,0,23,454,.334,.832
5,B Brown,17,2,2,0,157,.240,.418
7,S Sime,11,10,2,4,261,.244,.546
2,T d'Arnaud,5,0,0,2,64,.357,.826
1,B Hubbert,14,3,1,3,98,.316,.673
7,J Snyder,68,7,1,7,504,.371,.777
2,P Cuello,9,3,3,1,92,.314,.640
1,B Bond,13,6,3,1,150,.401,.795
10,C Lundahl,5,1,1,4,254,.263,.622
0,K Gunderson,0,0,0,0,0,--,--
0,Y Castro,0,0,0,0,0,--,--
8,M Jones,35,2,0,7,331,.380,.833
0,A Gomes,0,0,0,0,3,.667,1.667
1,W Vogl,0,1,0,0,31,.125,.254
5,M Grace,5,3,1,0,65,.278,.509
6,E Cabrera,51,73,16,6,479,.361,.760
1,S Nagy,2,4,0,1,34,.189,.483
7,M Cusick,40,8,1,9,351,.356,.818
4,J Heyward,49,15,3,11,449,.388,.871
19,G Sexton,23,3,7,7,490,.330,.744
7,L Exposito,12,1,1,11,191,.328,.836
1,F Plasencia,7,2,1,2,85,.337,.831
4,A Almonte,47,29,10,8,443,.303,.662
