GS,GmSc,STL%,USG%,Rk,Age,DRtg,Date,BLK%
0,7.0,0.0,23.1,2,32-158,117,1992-11-08,0.0
0,-0.8,0.0,0.0,35,32-241,113,1993-01-30,0.0
0,0.2,13.3,5.5,69,32-311,93,1993-04-10,0.0
0,6.7,0.0,28.0,45,32-265,106,1993-02-23,0.0
0,2.4,0.0,7.3,27,32-224,108,1993-01-13,0.0
0,-0.9,4.9,20.5,8,32-171,118,1992-11-21,0.0
0,2.3,0.0,21.4,18,32-196,104,1992-12-16,0.0
0,-2.2,0.0,18.1,64,32-301,110,1993-03-31,0.0
0,-0.5,6.4,10.9,6,32-167,112,1992-11-17,0.0
0,1.1,0.0,8.7,24,32-219,93,1993-01-08,0.0
0,0.0,0.0,0.0,23,32-216,134,1993-01-05,0.0
0,3.0,0.0,27.1,68,32-310,109,1993-04-09,0.0
0,0.0,0.0,0.0,12,32-178,122,1992-11-28,0.0
0,2.4,0.0,13.2,29,32-227,105,1993-01-16,0.0
0,0.9,0.0,21.3,14,32-185,109,1992-12-05,0.0
0,0.2,0.0,7.7,54,32-281,115,1993-03-11,0.0
0,1.7,0.0,0.0,36,32-245,93,1993-02-03,18.2
0,-0.9,0.0,8.0,5,32-165,109,1992-11-15,0.0
0,2.2,0.0,4.1,56,32-286,109,1993-03-16,0.0
0,3.0,0.0,5.3,59,32-292,100,1993-03-22,0.0
0,-0.1,0.0,11.5,7,32-169,98,1992-11-19,0.0
0,3.2,5.8,14.3,21,32-210,115,1992-12-30,0.0
0,5.4,0.0,20.9,33,32-238,119,1993-01-27,0.0
0,2.4,0.0,21.7,71,32-315,130,1993-04-14,0.0
