DRB%,G,Age,MP,DRtg
11.4,13,23-058,14:00,134
12.2,53,23-191,16:00,109
10.3,31,23-101,16:00,98
12.7,15,23-061,9:00,105
19.6,11,23-047,5:00,114
0.0,43,23-147,4:00,109
0.0,16,23-063,6:00,104
0.0,12,23-050,6:00,117
27.9,38,23-117,4:00,92
34.9,42,23-145,5:00,110
0.0,37,23-116,5:00,103
26.4,26,23-089,13:00,115
6.4,49,23-182,15:00,106
8.9,6,23-038,24:00,104
0.0,28,23-093,8:00,108
0.0,36,23-114,4:00,112
0.0,24,23-085,22:00,132
0.0,18,23-071,2:00,117
0.0,35,23-108,2:00,106
46.2,50,23-184,8:00,111
0.0,27,23-092,4:00,115
0.0,2,23-027,7:00,122
13.4,47,23-179,7:00,105
18.4,9,23-044,19:00,98
5.9,34,23-107,21:00,118
0.0,23,23-082,13:00,127
13.3,21,23-076,18:00,123
0.0,20,23-075,7:00,104
29.8,55,23-195,11:00,113
