From,ASG,2B,Yrs,3B,G,Yrs@School,R
1927,0,0,1,0,1,1925-1927,0
1931,0,152,12,32,962,1930-1931,346
1910,0,0,3,1,5,1909-1910,0
2012,1,73,4,15,342, ,180
1875,0,17,3,7,136, ,50
2008,0,1,1,0,18, ,3
1992,0,1,2,0,22, ,4
1910,0,1,2,0,22,1909,1
1967,0,0,1,0,1,1962,0
1905,0,0,2,0,9,1902-1904,2
1902,0,1,2,2,43,1900-1901,9
1910,0,34,8,11,432,1910,136
2009,0,0,7,0,377, ,0
1871,0,0,2,0,5, ,4
1961,18,646,23,59,3308,1958,1816
1955,0,0,3,0,64,1954,15
1919,0,0,1,0,8,1917-1919,0
1908,0,23,9,10,367,1907-1908,57
1906,0,6,1,3,88,1900-1901,20
2008,1,5,8,0,246, ,8
1940,0,2,5,0,93, ,6
1952,0,0,1,0,15,1944-1948,4
1936,0,0,1,0,3,1934-1936,0
1905,0,0,1,0,3,1898-1905,0
2003,0,0,9,0,477, ,1
1942,0,0,1,0,4,1939-1940,0
1875,0,5,4,0,43, ,19
1913,0,0,2,0,25,1912-1913,1
1916,0,0,1,1,8,1914-1915,2
1922,0,0,1,0,5,1919-1921,2
