MP,AST%,GmSc,Tm,ORB%,BLK%,Age,TS%,Date
7:00,0.0,-1.7,ORL,0.0,0.0,27-026, ,2001-01-25
12:00,0.0,-0.1,ORL,0.0,10.5,27-074,.266,2001-03-14
18:00,10.0,8.3,ORL,6.7,4.4,27-076,.615,2001-03-16
7:00,0.0,-0.9,ORL,0.0,19.6,26-343,.000,2000-12-07
8:00,0.0,-0.5,ORL,21.4,9.0,27-007,.000,2001-01-06
12:00,0.0,0.0,ORL,10.5,0.0,27-106,.500,2001-04-15
2:00,0.0,0.0,ORL,0.0,0.0,27-046, ,2001-02-14
8:00,0.0,0.4,ORL,13.3,0.0,26-320,.798,2000-11-14
9:00,0.0,-0.5,ORL,21.8,17.5,27-081,.258,2001-03-21
14:00,8.6,-2.7,ORL,21.4,0.0,27-083,.000,2001-03-23
2:00,0.0,-0.8,ORL,0.0,0.0,26-322, ,2000-11-16
14:00,9.6,-0.6,ORL,15.9,0.0,27-016,.500,2001-01-15
14:00,0.0,1.9,ORL,15.5,0.0,27-021,.500,2001-01-20
19:00,0.0,7.4,ORL,23.8,11.3,26-309,.667,2000-11-03
11:00,0.0,3.5,ORL,0.0,6.8,27-080,1.025,2001-03-20
1:00,0.0,0.0,ORL,0.0,0.0,27-048, ,2001-02-16
1:00,0.0,0.0,ORL,0.0,0.0,27-003, ,2001-01-02
19:00,0.0,9.6,ORL,12.3,4.6,27-052,1.009,2001-02-20
17:00,7.6,4.0,ORL,20.2,3.5,27-062,.615,2001-03-02
9:00,0.0,2.0,ORL,21.8,0.0,27-078,.798,2001-03-18
