Year,Tournaments played,Cuts made,Wins,2nd,3rd,Top 10s,Best finish,Earnings ($),Money list rank,Scoring average,Scoring rank
1994,1,1,0,0,0,0,T75,612, ,77.25, 
1995,1,0,0,0,0,0,MC, , ,82.0, 
1996,1,1,0,0,0,0,MC, , ,75.0, 
1997,2,2,0,0,0,1,5,"30,154", ,72.5, 
1998,4,2,0,1,0,1,T12,"81,915", ,74.58, 
1999,21,11,0,0,0,1,T6,"80,800",96.0,73.27,115.0
2000,21,18,2,1,0,4,1,"544,390",13.0,71.93,17.0
2001,25,23,1,1,0,7,1,"617,327",15.0,71.55,25.0
2002,20,15,0,0,0,0,T11,"165,093",57.0,72.4,47.0
2003,22,17,1,1,0,6,1,"635,372",18.0,71.11,17.0
2004,21,11,0,0,1,3,T3,"167,843",65.0,73.48,124.0
2005,26,21,0,1,1,7,2,"484,839",28.0,72.59,46.0
2006,25,21,0,1,1,6,T2,"655,548",17.0,71.57,21.0
2007,19,16,0,1,0,6,T2,"469,748",30.0,71.84,16.0
2008,23,17,0,2,1,5,T2,"646,303",28.0,71.85,33.0
2009,22,17,1,1,0,7,1,"792,359",17.0,71.54,26.0
2010,21,18,0,0,0,1,T10,"231,715",45.0,72.7,59.0
2011,21,19,0,0,1,2,3,"427,586",26.0,72.44,39.0
2012,22,16,0,0,0,0,T12,"158,089",65.0,73.28,85.0
2013,15,2,0,0,0,0,T45,"13,751",135.0,74.33,135.0
2014,3,0,0,0,0,0,MC,0, ,77.33, 
