2B,SO,R,H,SH
11,37,19,43,2
10,82,29,39,4
22,94,66,160,11
4,35,11,26,0
7,31,19,16,3
17,79,43,82,0
4,16,3,7,1
1,18,4,12,0
1,2,2,4,0
31,92,74,155,0
0,1,0,3,0
4,29,15,34,3
3,17,7,10,1
1,8,2,3,0
5,33,7,21,0
10,18,16,24,0
8,60,14,41,0
0,15,2,4,1
0,4,0,0,0
0,6,12,19,0
0,1,0,0,0
25,98,79,139,3
5,21,10,18,0
11,61,20,45,0
12,28,22,57,5
12,54,25,56,2
16,56,26,54,1
19,28,35,64,0
1,0,0,1,0
0,5,3,5,0
0,1,1,2,0
5,53,11,41,5
15,62,40,89,2
12,54,18,47,1
13,76,31,73,2
12,51,40,68,1
1,15,11,19,1
6,63,20,28,1
21,66,22,65,0
19,77,54,127,6
14,52,36,71,0
2,16,6,11,0
0,5,2,3,0
8,20,21,45,0
9,28,24,40,4
9,78,40,70,0
2,26,6,11,1
0,2,2,3,0
8,34,13,35,0
19,91,35,91,9
20,48,42,76,2
24,119,62,138,0
2,2,3,2,0
6,21,12,32,1
0,4,3,6,0
27,97,86,112,6
4,37,11,20,0
14,129,57,99,7
0,4,1,6,0
18,161,72,109,5
4,31,11,27,0
23,48,42,120,4
2,8,3,7,1
21,57,51,104,9
5,27,13,19,4
1,6,1,3,0
9,48,23,71,2
2,21,12,24,1
27,61,73,125,1
17,105,61,112,4
33,108,70,96,0
1,7,10,24,1
8,36,19,53,2
0,1,0,0,0
1,2,1,1,0
5,13,8,26,0
0,7,3,7,0
12,64,21,41,0
22,60,47,93,3
0,2,3,3,0
2,7,6,11,0
0,1,0,1,0
0,7,4,6,0
5,27,12,19,2
1,3,2,3,0
6,13,12,35,2
2,13,12,26,2
0,0,0,0,0
11,53,36,63,1
0,32,13,16,3
0,6,1,3,0
2,4,1,6,0
30,123,74,137,0
1,22,10,13,2
23,71,59,119,0
1,5,3,5,0
21,79,46,99,0
11,25,17,37,0
3,56,19,32,1
4,48,14,26,1
0,0,1,2,0
7,39,26,47,1
3,22,5,8,2
2,13,6,12,0
21,49,51,80,1
0,2,0,2,0
0,9,2,6,0
4,13,14,24,1
5,22,21,50,4
16,37,32,76,1
19,55,40,67,0
26,98,77,139,1
4,26,13,35,3
4,17,13,18,3
0,2,3,3,0
2,13,7,15,1
13,129,46,74,1
0,1,1,1,0
19,121,82,115,1
7,15,19,31,3
24,98,53,112,2
10,43,19,46,2
16,111,76,124,4
28,100,57,122,5
10,41,23,45,0
23,72,61,97,2
17,68,32,67,1
22,107,59,104,3
28,48,45,109,5
10,40,39,65,0
16,41,78,131,7
22,113,56,115,1
16,134,50,94,1
24,61,60,125,8
24,143,59,112,0
4,18,5,16,1
2,2,5,6,0
9,9,13,17,0
6,39,30,48,2
2,9,2,6,0
31,153,66,108,1
4,30,10,25,0
16,66,34,68,0
2,16,6,12,1
25,113,51,92,0
16,61,40,65,6
