Player,Pos,Pts,Tries,Conv,Pens,Drop,Team,Opposition,Ground,Date,Match
G Cornelsen,N8,16,4,0,0,0,Australia,v New Zealand,Auckland,9 Sep 1978,Details
TJ Morris,FB,14,0,4,2,0,New Zealand,v Australia,Auckland,16 Sep 1972,Details
K Aruga,W,12,3,0,0,0,Japan,v NZ Unis,Wellington,26 May 1974,Details
V Mocelutu,N8,12,3,0,0,0,Fiji,v NZ Maori,Wellington,31 Aug 1974,Details
N Ueyama,FB,11,0,4,1,0,Japan,v Junior ABs,Auckland,19 May 1974,Details
BW Wilson,FB,11,0,1,3,0,New Zealand,v France,Christchurch,7 Jul 1979,Details
BW Wilson,FB,11,0,1,3,0,New Zealand,v France,Auckland,14 Jul 1979,Details
B John,FH,10,1,2,0,1,Lions,v New Zealand,Wellington,31 Jul 1971,Details
JJ McLean,W,10,2,1,0,0,Australia,v New Zealand,Christchurch,2 Sep 1972,Details
TJ Morris,FB,10,0,2,2,0,New Zealand,v Australia,Christchurch,2 Sep 1972,Details
TJ Morris,FB,9,0,3,0,1,New Zealand,v Australia,Wellington,19 Aug 1972,Details
P Bennett,FH,9,0,0,3,0,Lions,v New Zealand,Wellington,18 Jun 1977,Details
P Bennett,FH,9,0,0,3,0,Lions,v New Zealand,Christchurch,9 Jul 1977,Details
BG Williams,W,9,0,0,3,0,New Zealand,v Lions,Christchurch,9 Jul 1977,Details
DW Morgan,SH,9,1,1,1,0,Lions,v New Zealand,Auckland,13 Aug 1977,Details
BW Wilson,FB,9,0,0,3,0,New Zealand,v Australia,Wellington,19 Aug 1978,Details
A Caussade,FH,9,1,1,0,1,France,v New Zealand,Auckland,14 Jul 1979,Details
H Porta,FH,9,0,0,1,2,Argentina,v NZ XV,Dunedin,8 Sep 1979,Details
B John,FH,8,0,1,2,0,Lions,v New Zealand,Auckland,14 Aug 1971,Details
LW Mains,FB,8,0,1,2,0,New Zealand,v Lions,Auckland,14 Aug 1971,Details
IA Kirkpatrick,F,8,2,0,0,0,New Zealand,v Australia,Christchurch,2 Sep 1972,Details
T Ito,C,8,2,0,0,0,Japan,v NZ Unis,Dunedin,12 May 1974,Details
M Fujiwara,W,8,2,0,0,0,Japan,v Junior ABs,Auckland,19 May 1974,Details
JF Karam,FB,8,0,4,0,0,New Zealand,v Scotland,Auckland,14 Jun 1975,Details
BG Williams,W,8,2,0,0,0,New Zealand,v Scotland,Auckland,14 Jun 1975,Details
BW Wilson,FB,8,0,1,2,0,New Zealand,v Lions,Dunedin,30 Jul 1977,Details
KJ Wright,FH,8,0,1,2,0,Australia,v New Zealand,Wellington,19 Aug 1978,Details
BJ McKechnie,FH,8,0,1,2,0,New Zealand,v Australia,Auckland,9 Sep 1978,Details
LW Mains,FB,7,0,2,1,0,New Zealand,v Lions,Christchurch,10 Jul 1971,Details
J Visei,FB,7,1,0,0,1,Fiji,v NZ Maori,Wellington,31 Aug 1974,Details
BW Wilson,FB,7,0,2,1,0,New Zealand,v Australia,Christchurch,26 Aug 1978,Details
J Qoro Narisia,P,6,2,0,0,0,Fiji,v NZ Maori,Auckland,8 Aug 1970,Details
B John,FH,6,0,0,2,0,Lions,v New Zealand,Dunedin,26 Jun 1971,Details
RE Burgess,FH,6,2,0,0,0,New Zealand,v Lions,Christchurch,10 Jul 1971,Details
TGR Davies,W,6,2,0,0,0,Lions,v New Zealand,Christchurch,10 Jul 1971,Details
B John,FH,6,0,0,1,1,Lions,v New Zealand,Christchurch,10 Jul 1971,Details
JJ McLean,W,6,0,0,2,0,Australia,v New Zealand,Wellington,19 Aug 1972,Details
I Batibasaga,SH,6,0,3,0,0,Fiji,v NZ Maori,Wellington,31 Aug 1974,Details
BW Wilson,FB,6,0,0,2,0,New Zealand,v Lions,Auckland,13 Aug 1977,Details
KJ Wright,FH,6,0,0,1,1,Australia,v New Zealand,Christchurch,26 Aug 1978,Details
H Porta,FH,6,0,0,2,0,Argentina,v NZ XV,Wellington,15 Sep 1979,Details
AC Melrose,FH,5,0,1,0,1,Australia,v New Zealand,Auckland,9 Sep 1978,Details
KJ Wright,C,5,0,1,1,0,Australia,v New Zealand,Auckland,9 Sep 1978,Details
